s_no,title,body,industry,Region,source,time
43,"Procurement of 0623-2340J1110279 High temperature oxidation furnace project of Yixing CRRC Times Semiconductor Co., LTD(1)","0623-2340J1110279,High temperature oxidation furnace project of Yixing CRRC Times Semiconductor Co., LTD","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
44,"Procurement of 0623-2340J1110313 Yixing CRRC Times Semiconductor Co., Ltd. can proton injection machine project(1)","0623-2340J1110313,Yixing CRRC Times Semiconductor Co., Ltd. can proton injection machine project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
45,"Procurement of 0623-2340J1110169 PECVD equipment project of Yixing CRRC Times Semiconductor Co., LTD(1)","0623-2340J1110169,PECVD equipment project of Yixing CRRC Times Semiconductor Co., LTD","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
46,"Procurement of 0623-2340J1110308 Yixing CRRC Times Semiconductor Co., LTD. Metal dry etching equipment project(1)","0623-2340J1110308,Yixing CRRC Times Semiconductor Co., LTD. Metal dry etching equipment project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
47,"Procurement of 0623-2340J1110312 Yixing CRRC Times Semiconductor Co., LTD. Platinum process furnace tube equipment project(1)","0623-2340J1110312,Yixing CRRC Times Semiconductor Co., LTD. Platinum process furnace tube equipment project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
48,"Procurement of 0623-2340J1110266 Four probe equipment project of Yixing CRRC Times Semiconductor Co., LTD(1)","0623-2340J1110266,Four probe equipment project of Yixing CRRC Times Semiconductor Co., LTD","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-26-2023
49,Procurement of 1069-234Z20233267 Nanopore sequencing system procurement project(1),"1069-234Z20233267,Nanopore sequencing system procurement project",Manufacture of Special-purpose Machinery,ChinaShanghai,Currency,10-26-2023
50,"Procurement of 0720-2340zbzx0232 Reactor system, heat exchanger system(2)","0720-2340zbzx0232,Reactor system, heat exchanger system","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-26-2023
51,Procurement of 0747-2340SCCZUE01 Project for improving the quality and efficiency of engineering radial tires for large-sized wide body dump trucks(2),"0747-2340SCCZUE01,Project for improving the quality and efficiency of engineering radial tires for large-sized wide body dump trucks",Manufacture of Rubber and Plastic Products,ChinaHenan,Currency,10-26-2023
52,Procurement of 0773-2341SHHW0097/03 reference to chinese(2),"0773-2341SHHW0097/03,reference to chinese",Education ,ChinaShanghai,Currency,10-26-2023
53,Procurement of 0618-234TC23960FW Vacuum reflux furnace,"0618-234TC23960FW,Vacuum reflux furnace",Manufacture of Special-purpose Machinery,ChinaSichuan,Currency,10-26-2023
54,Procurement of 1009-2341HOLLY25U Gastroenteroscopy Procurement Project of the First People's Hospital of Suqian City(1),"1009-2341HOLLY25U,Gastroenteroscopy Procurement Project of the First People's Hospital of Suqian City",Health ,ChinaJiangsu,Currency,10-26-2023
55,Procurement of 4049-234BHJT23002 Procurement and Installation Services for Water Mist Extinguishing and Fire Control System Equipment of Vehicles in Phase I of Rail Transit Line B1(1),"4049-234BHJT23002,Procurement and Installation Services for Water Mist Extinguishing and Fire Control System Equipment of Vehicles ",Railway Transport,ChinaTianjin,Currency,10-26-2023
56,Procurement of 1009-2341HOLLY41M Gaoyou Traditional Chinese Medicine Hospital Plasma Electric Cutting Lens Procurement Project(1),"1009-2341HOLLY41M,Gaoyou Traditional Chinese Medicine Hospital Plasma Electric Cutting Lens Procurement Project",Health ,ChinaJiangsu,Currency,10-26-2023
57,Procurement of 0613-234022125018 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125018,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
58,Procurement of 0613-234022125017 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125017,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
59,Procurement of 0613-234022125014 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125014,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
60,Procurement of 0613-234022125013 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125013,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
61,Procurement of 0613-234022125015 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125015,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
62,Procurement of 0613-234022125012 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125012,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
63,Procurement of 0613-234022125011 HHGrace 8-Inch IC Manufacturing Project(2),"0613-234022125011,HHGrace 8-Inch IC Manufacturing Project","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-26-2023
64,"Procurement of 1009-2340HOLLY05S Vortex Spinning Machine Procurement Project of Kangtai Textile Co., Ltd. in Gaomi City, Shandong Province(2)","1009-2340HOLLY05S,Vortex Spinning Machine Procurement Project of Kangtai Textile Co., Ltd. in Gaomi City, Shandong Province","Manufacture of Textile, Wearing Apparel and Accessories",ChinaJiangsu,Currency,10-26-2023
65,"Procurement of 5250-234SJZB23003/01 Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement(1)","5250-234SJZB23003/01,Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement",Coal Mining and Dressing,ChinaShanxi,Currency,10-26-2023
66,"Procurement of 5250-234SJZB23003/02 Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement(1)","5250-234SJZB23003/02,Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement",Coal Mining and Dressing,ChinaShanxi,Currency,10-26-2023
67,"Procurement of 5250-234SJZB23003/03 Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement(1)","5250-234SJZB23003/03,Shanxi Coking Coal Group Co., Ltd. coking coal clean utilization laboratory branch of the fourth batch of equipment procurement",Coal Mining and Dressing,ChinaShanxi,Currency,10-26-2023
68,Procurement of 5244-234YBSKJD001 a number of equipment bidding projects such as composite operating room angiography system of Yibin Second People's Hospital(1),"5244-234YBSKJD001,a number of equipment bidding projects such as composite operating room angiography system of Yibin Second People's Hospital",Manufacture of Special-purpose Machinery,ChinaSichuan,Currency,10-26-2023
69,Procurement of 0773-2341SHHW0097/02 reference to chinese(2),"0773-2341SHHW0097/02,reference to chinese",Education ,ChinaShanghai,Currency,10-26-2023
70,Procurement of 0811-234DSITC3016 Establishment of equipment and materials in Jiading Branch of Shanghai Hospital of Traditional Chinese Medicine (extracorporeal cardiac shock wave therapy system)(1),"0811-234DSITC3016,Establishment of equipment and materials in Jiading Branch of Shanghai Hospital of Traditional Chinese Medicine ",Health ,ChinaShanghai,Currency,10-26-2023
71,Procurement of 0773-2341SHHW0097/01 reference to chinese(2),"0773-2341SHHW0097/01,reference to chinese",Education ,ChinaShanghai,Currency,10-26-2023
72,Procurement of 0675-234JOC103643 Color Doppler ultrasound procurement(1),"0675-234JOC103643,Color Doppler ultrasound procurement",Health ,ChinaJiangsu,Currency,10-26-2023
73,Procurement of 0720-2340zbzx0234 SIS for Ethylene Device and EO Plant of PetroChina Jilin Petrochemical Company(1),"0720-2340zbzx0234,SIS for Ethylene Device and EO Plant of PetroChina Jilin Petrochemical Company","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaJilin,Currency,10-26-2023
74,Procurement of 0730-234011020602/02 Clean Robot for Mass Transfer(2),"0730-234011020602/02,Clean Robot for Mass Transfer","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaFujian,Currency,10-26-2023
75,Procurement of 0729-234OIT861552/03 Mechanical grinding and polishing machine(1),"0729-234OIT861552/03,Mechanical grinding and polishing machine",Research and Experimental Development,ChinaGuangdong,Currency,10-26-2023
76,Procurement of 0729-234OIT861552/02 Laser sealing machine(1),"0729-234OIT861552/02,Laser sealing machine",Research and Experimental Development,ChinaGuangdong,Currency,10-26-2023
77,Procurement of 0729-234OIT861552/01 3D X-ray Microscope Procurement Project(1),"0729-234OIT861552/01,3D X-ray Microscope Procurement Project",Research and Experimental Development,ChinaGuangdong,Currency,10-26-2023
78,Procurement of 0704-2340JDCP2150 LD5-2N OIL PHASE II DEVELOPMENT PROJECT The Analyzers (2),"0704-2340JDCP2150,LD5-2N OIL PHASE II DEVELOPMENT PROJECT The Analyzers ",Petroleum and Natural Gas Extraction,ChinaTianjin,Currency,10-26-2023
79,Procurement of 0811-234DSITC2947 Excimer laser system(1),"0811-234DSITC2947,Excimer laser system",Health ,ChinaShanghai,Currency,10-26-2023
80,Procurement of 0736-234020230164 Portable emission measurement system(PEMS)(2),"0736-234020230164,Portable emission measurement system(PEMS)","Manufacture of Railway, Ship ,Aerospace and Other Transport Equipment ",ChinaJilin,Currency,10-26-2023
81,Procurement of 0712-234012303041 BRICI-Analysis and testing platform scientific research equipment construction project Ultramicrotome(2),"0712-234012303041,BRICI-Analysis and testing platform scientific research equipment construction project Ultramicrotome","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaBeijing,Currency,10-26-2023
82,Procurement of 0664-2340SUMECK29 Spinning board and its components(2),"0664-2340SUMECK29,Spinning board and its components",Textile Industry,ChinaGuangdong,Currency,10-26-2023
83,"Procurement of 0828-2340HXZBI021 Procurement of multifunctional enzyme-linked immunosorbent assay equipment by North China Pharmaceutical Group New Drug Research and Development Co., Ltd(1)","0828-2340HXZBI021,Procurement of multifunctional enzyme-linked immunosorbent assay equipment by North China Pharmaceutical Group",Manufacture of Medicines,ChinaHebei,Currency,10-26-2023
84,Procurement of 0722-234FE1009JT6 Inductive Coupled Plasma Etcher Procurement Project for Beijing Vacuum Electronics Research Institute(2),"0722-234FE1009JT6,Inductive Coupled Plasma Etcher Procurement Project for Beijing Vacuum Electronics Research Institute",Research and Experimental Development,ChinaBeijing,Currency,10-26-2023
85,"Procurement of 0666-234001CT0004 North China Pharmaceutical Group New Drug research and development Co., LTD parallel reaction instrument(2)","0666-234001CT0004,North China Pharmaceutical Group New Drug research and development Co., LTD parallel reaction instrument",Manufacture of Special-purpose Machinery,ChinaHebei,Currency,10-26-2023
86,Procurement of 4594-234GTH202375 Purchase of experimental equipment for the construction project of International Maize Technology Innovation and Achievement Transformation Center(the second batch)(1),"4594-234GTH202375,Purchase of experimental equipment for the construction project of International Maize Technology Innovation and Achievement ",Research and Experimental Development,ChinaHainan,Currency,10-26-2023
87,Procurement of 0811-234DSITC2131 Shanghai Traditional Chinese Medicine Hospital Jiading District Equipment and Materials Establishment (Extracorporeal Shock Wave Cardiovascular Treatment System)(2),"0811-234DSITC2131,Shanghai Traditional Chinese Medicine Hospital Jiading District Equipment and Materials Establishment ",Health ,ChinaShanghai,Currency,10-26-2023
88,Procurement of 1639-234122240421 Transmission electron microscope detector(2),"1639-234122240421,Transmission electron microscope detector",Research and Experimental Development,ChinaShanghai,Currency,10-26-2023
89,Procurement of 0747-2340SCCZL252 Notice,"0747-2340SCCZL252,Infrared radiation characteristic simulation system",Software and Information Technology Services,ChinaBeijing,Currency,10-26-2023
90,Procurement of 1639-234122240409 He4 Dilution He3 Refrigerator Option(1),"1639-234122240409,He4 Dilution He3 Refrigerator Option",Education ,ChinaShanghai,Currency,10-26-2023
91,Procurement of 2051-234111020648 Shanghai Normal University imported Pilates equipment(2),"2051-234111020648,Shanghai Normal University imported Pilates equipment",Education ,ChinaShanghai,Currency,10-26-2023
92,"Procurement of 4197-2340SHJT0002/08 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(1)","4197-2340SHJT0002/08,Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,10-25-2023
93,Procurement of 0622-234001001049 Procurement of nerve magnetic stimulators from the First Affiliated Hospital of Anhui University of Traditional Chinese Medicine(1),"0622-234001001049,Procurement of nerve magnetic stimulators from the First Affiliated Hospital of Anhui University of Traditional Chinese Medicine",Health ,ChinaAnhui,Currency,10-25-2023
94,"Procurement of 0704-2340JDCP2062 Daxie Petrochemical distillate Phase 5 project 250,000 tons/year olefin separation device 19?sets low pressure drop check valves(2)","0704-2340JDCP2062,Daxie Petrochemical distillate Phase 5 project 250,000 tons/year olefin separation device 19 sets low pressure drop check valves",Manufacture of Raw Chemical Materials and Chemical  Products,ChinaZhejiang,Currency,10-25-2023
95,Procurement of 3109-234Z20233058 Purchase Project of High-speed / overspeed centrifugation system(1),"3109-234Z20233058,Purchase Project of High-speed / overspeed centrifugation system",Education ,ChinaShanghai,Currency,10-25-2023
96,Procurement of 0756-234cctc50018 Procurement of the PROCUREMENT OF 300KTA LyondellBasell Hostalen ACP HDPE extrusion granulation unit for ChinaCoal Yulin Coal Deep Processing Base Project(1),"0756-234cctc50018,Procurement of the PROCUREMENT OF 300KTA LyondellBasell Hostalen ACP HDPE extrusion granulation unit",Manufacture of Raw Chemical Materials and Chemical  Products,ChinaShaanxi,Currency,10-25-2023
97,Procurement of 0613-234024165202 Reliability analysis and testing equipment(1),"0613-234024165202,Reliability analysis and testing equipment",Professional Technical Services,ChinaShanghai,Currency,10-25-2023
98,Procurement of 1708-23410460080A Intraaortic balloon counterpulsation device(1),"1708-23410460080A,Intraaortic balloon counterpulsation device",Health ,ChinaChongqing,Currency,10-25-2023
99,Procurement of 4197-214BOEFZ0001/91 Equipment Procurement Project of Fuzhou G8.5 New Semiconductor Display Device(2),"4197-214BOEFZ0001/91,Equipment Procurement Project of Fuzhou G8.5 New Semiconductor Display Device","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaFujian,Currency,10-25-2023
100,Procurement of 0712-234032303090 2023 Dalian Institute national allocation project capital(1),"0712-234032303090,2023 Dalian Institute national allocation project capital","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaLiaoning,Currency,10-25-2023
101,Procurement of 0687-234020230071/03 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/03,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
102,Procurement of 0687-234020230071/04 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/04,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
103,Procurement of 0687-234020230071/02 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/02,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
104,Procurement of 0613-234024165101 Energy flow data acquisition system(2),"0613-234024165101,Energy flow data acquisition system",Professional Technical Services,ChinaShanghai,Currency,10-27-2023
105,Procurement of 0687-234020230071/01 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/01,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,10-27-2023
106,"Procurement of 3230-234000110023 Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project(2)","3230-234000110023,Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project",Research and Experimental Development,ChinaGansu,Currency,10-27-2023
107,"Procurement of 0730-234011SZ0366/01 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine(1)","0730-234011SZ0366/01,GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaGuangdong,Currency,10-27-2023
108,Procurement of 1200-234GB2023018 Fully automatic blood type analyzer(1),"1200-234GB2023018,Fully automatic blood type analyzer",Health ,ChinaHainan,Currency,10-27-2023
109,Procurement of 0730-234011SZ0350/03 NanTong SCC Project -Direct Imaging Machine(1),"0730-234011SZ0350/03,NanTong SCC Project -Direct Imaging Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,10-27-2023
110,Procurement of 0664-2340SUMECK38 Raw material synthesis furnace(1),"0664-2340SUMECK38,Raw material synthesis furnace","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaZhejiang,Currency,10-27-2023
111,Procurement of 1289-234023ZB1481 Procurement of laser annealing equipment for Yandong Group(2),"1289-234023ZB1481,Procurement of laser annealing equipment for Yandong Group",Manufacture of Electrical Machinery and Apparatus ,ChinaBeijing,Currency,10-27-2023
112,Procurement of 0720-2340zbzx0225 extrusion and pelletizing unit(2),"0720-2340zbzx0225,extrusion and pelletizing unit","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-27-2023
113,"Procurement of 0655-2341NIT2005N Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, Beijing University of AeronauticsandAstronautics(1)","0655-2341NIT2005N,Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, ",Education ,ChinaZhejiang,Currency,10-27-2023
114,Procurement of 0720-2340zbzx0224 Peroxide Dosing Pumps & Solvent Flushing Pump(2),"0720-2340zbzx0224,Peroxide Dosing Pumps & Solvent Flushing Pump","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,10-27-2023
