dates,cumulativecount_medicalconditionincident_covid_19_confirmedorprobablecase
2020-08-15,5375527
2020-08-16,5417664
2020-08-17,5455187
2020-08-18,5498420
2020-08-19,5541433
2020-08-20,5587475
2020-08-21,5636491
2020-08-22,5681517
2020-08-23,5713850
2020-08-24,5754254
2020-08-25,5793385
2020-08-26,5838532
2020-08-27,5884368
2020-08-28,5930932
2020-08-29,5975541
2020-08-30,6008970
2020-08-31,6045457
2020-09-01,6089506
2020-09-02,6121950
2020-09-03,6168347
2020-09-04,6220448
2020-09-05,6262701
2020-09-06,6292699
2020-09-07,6317865
2020-09-08,6346807
2020-09-09,6380139
2020-09-10,6418200
2020-09-11,6465767
2020-09-12,6504871
2020-09-13,6538214
2020-09-14,6575101
2020-09-15,6614318
2020-09-16,6653586
2020-09-17,6698896
2020-09-18,6747783
2020-09-19,6789594
2020-09-20,6825950
2020-09-21,6880902
2020-09-22,6918293
2020-09-23,6959842
2020-09-24,7005046
2020-09-25,7059627
2020-09-26,7102322
2020-09-27,7139620
2020-09-28,7176980
2020-09-29,7220677
2020-09-30,7262735
2020-10-01,7309153
2020-10-02,7362733
2020-10-03,7410512
2020-10-04,7445575
2020-10-05,7507988
2020-10-06,7550850
2020-10-07,7603867
2020-10-08,7660249
2020-10-09,7719211
2020-10-10,7770859
2020-10-11,7815642
2020-10-12,7863658
2020-10-13,7918051
2020-10-14,7977904
2020-10-15,8043257
2020-10-16,8113721
2020-10-17,8166482
2020-10-18,8214364
2020-10-19,8279804
2020-10-20,8340398
2020-10-21,8404635
2020-10-22,8479765
2020-10-23,8565062
2020-10-24,8643641
2020-10-25,8703356
2020-10-26,8777994
2020-10-27,8852381
2020-10-28,8934263
2020-10-29,9024932
2020-10-30,9124800
2020-10-31,9209007
2020-11-01,9283202
2020-11-02,9377208
2020-11-03,9469624
2020-11-04,9577702
2020-11-05,9699051
2020-11-06,9831874
2020-11-07,9957805
2020-11-08,10061128
2020-11-09,10191572
2020-11-10,10331256
2020-11-11,10474295
2020-11-12,10637946
2020-11-13,10819442
2020-11-14,10978475
2020-11-15,11113661
2020-11-16,11280224
2020-11-17,11441855
2020-11-18,11614135
2020-11-19,11801643
2020-11-20,12000502
2020-11-21,12172435
2020-11-22,12313229
2020-11-23,12492852
2020-11-24,12670710
2020-11-25,12851300
2020-11-26,12954294
2020-11-27,13160133
2020-11-28,13311541
2020-11-29,13447663
2020-11-30,13615321
2020-12-01,13799549
2020-12-02,14000721
2020-12-03,14218459
2020-12-04,14449827
2020-12-05,14655535
2020-12-06,14827456
2020-12-07,15031979
2020-12-08,15251693
2020-12-09,15471409
2020-12-10,15697131
2020-12-11,15977147
2020-12-12,16184679
2020-12-13,16368898
2020-12-14,16569783
2020-12-15,16772936
2020-12-16,17017763
2020-12-17,17255472
2020-12-18,17506662
2020-12-19,17700567
2020-12-20,17880478
2020-12-21,18081996
2020-12-22,18283633
2020-12-23,18511396
2020-12-24,18704907
2020-12-25,18805838
2020-12-26,19022699
2020-12-27,19174788
2020-12-28,19363798
2020-12-29,19564828
2020-12-30,19793777
2020-12-31,20024801
2021-01-01,20172049
2021-01-02,20463659
2021-01-03,20665439
2021-01-04,20917269
2021-01-05,21152285
2021-01-06,21408251
2021-01-07,21688585
2021-01-08,21989362
2021-01-09,22241281
2021-01-10,22449576
2021-01-11,22675892
2021-01-12,22905869
2021-01-13,23135194
2021-01-14,23374716
2021-01-15,23614569
2021-01-16,23816762
2021-01-17,23986856
2021-01-18,24127989
2021-01-19,24314933
2021-01-20,24500421
2021-01-21,24690903
2021-01-22,24882468
2021-01-23,25050385
2021-01-24,25180061
2021-01-25,25336637
2021-01-26,25487275
2021-01-27,25643045
2021-01-28,25809220
2021-01-29,25973835
2021-01-30,26107635
2021-01-31,26221675
2021-02-01,26363284
2021-02-02,26478540
2021-02-03,26598723
2021-02-04,26724359
2021-02-05,26853860
2021-02-06,26958807
2021-02-07,27046088
2021-02-08,27139070
2021-02-09,27235460
2021-02-10,27330435
2021-02-11,27436075
2021-02-12,27535702
2021-02-13,27620354
2021-02-14,27684134
2021-02-15,27739406
2021-02-16,27803946
2021-02-17,27874107
2021-02-18,27945898
2021-02-19,28023910
2021-02-20,28093630
2021-02-21,28148810
2021-02-22,28208276
2021-02-23,28280189
2021-02-24,28354383
2021-02-25,28432265
2021-02-26,28510582
2021-02-27,28573256
2021-02-28,28624161
2021-03-01,28680857
2021-03-02,28738501
2021-03-03,28805113
2021-03-04,28872395
2021-03-05,28938090
2021-03-06,28994675
2021-03-07,29034739
2021-03-08,29129252
2021-03-09,29185151
2021-03-10,29243346
2021-03-11,29305733
2021-03-12,29369899
2021-03-13,29419456
2021-03-14,29457445
2021-03-15,29514609
2021-03-16,29569140
2021-03-17,29628071
2021-03-18,29688541
2021-03-19,29749164
2021-03-20,29803589
2021-03-21,29837782
2021-03-22,29892498
2021-03-23,29949244
2021-03-24,30029147
2021-03-25,30098263
2021-03-26,30172762
2021-03-27,30233462
2021-03-28,30277977
2021-03-29,30348716
2021-03-30,30410950
2021-03-31,30478886
2021-04-01,30556079
2021-04-02,30624668
2021-04-03,30688804
2021-04-04,30725627
2021-04-05,30802221
2021-04-06,30864193
2021-04-07,30937283
2021-04-08,31017741
2021-04-09,31099323
2021-04-10,31164081
2021-04-11,31212058
2021-04-12,31283990
2021-04-13,31361311
2021-04-14,31437061
2021-04-15,31510755
2021-04-16,31589109
2021-04-17,31642983
2021-04-18,31684382
2021-04-19,31754642
2021-04-20,31815666
2021-04-21,31878161
2021-04-22,31944402
2021-04-23,32008186
2021-04-24,32058654
2021-04-25,32092245
2021-04-26,32139580
2021-04-27,32191457
2021-04-28,32246275
2021-04-29,32303857
2021-04-30,32362374
2021-05-01,32407133
2021-05-02,32436765
2021-05-03,32486709
2021-05-04,32527664
2021-05-05,32572383
2021-05-06,32620077
2021-05-07,32667570
2021-05-08,32701236
2021-05-09,32723564
2021-05-10,32760121
2021-05-11,32794162
2021-05-12,32829645
2021-05-13,32868084
2021-05-14,32909065
2021-05-15,32938115
2021-05-16,32954825
2021-05-17,32984032
2021-05-18,33011895
2021-05-19,33040689
2021-05-20,33070307
2021-05-21,33107107
2021-05-22,33117634
2021-05-23,33131784
2021-05-24,33157412
2021-05-25,33180250
2021-05-26,33203636
2021-05-27,33231383
2021-05-28,33253407
2021-05-29,33264967
2021-05-30,33272409
2021-05-31,33277912
2021-06-01,33300482
2021-06-02,33317340
2021-06-03,33336811
2021-06-04,33312812
2021-06-05,33323260
2021-06-06,33329413
2021-06-07,33348865
2021-06-08,33363050
2021-06-09,33383714
2021-06-10,33399513
2021-06-11,33416340
2021-06-12,33424619
2021-06-13,33431406
2021-06-14,33446525
2021-06-15,33458397
2021-06-16,33472808
2021-06-17,33484995
2021-06-18,33497695
2021-06-19,33505275
2021-06-20,33509338
2021-06-21,33525182
2021-06-22,33537943
2021-06-23,33551974
2021-06-24,33566669
2021-06-25,33581632
2021-06-26,33588423
2021-06-27,33592510
2021-06-28,33608058
2021-06-29,33623787
2021-06-30,33639764
2021-07-01,33704723
2021-07-02,33725159
2021-07-03,33729152
2021-07-04,33732074
2021-07-05,33736665
2021-07-06,33763742
2021-07-07,33793961
2021-07-08,33843194
2021-07-09,33878529
2021-07-10,33886287
2021-07-11,33891830
2021-07-12,33927213
2021-07-13,33970195
2021-07-14,34008250
2021-07-15,34044268
2021-07-16,34096492
2021-07-17,34108937
2021-07-18,34117964
2021-07-19,34177146
2021-07-20,34239257
2021-07-21,34299310
2021-07-22,34364829
2021-07-23,34447610
2021-07-24,34469200
2021-07-25,34483033
2021-07-26,34576119
2021-07-27,34682937
2021-07-28,34767898
2021-07-29,34866192
2021-07-30,34988866
2021-07-31,35018564
2021-08-01,35041458
2021-08-02,35177628
2021-08-03,35327939
2021-08-04,35440283
2021-08-05,35567255
2021-08-06,35735606
2021-08-07,35777721
2021-08-08,35813789
2021-08-09,35992480
2021-08-10,36154571
2021-08-11,36310148
2021-08-12,36448857
2021-08-13,36636249
2021-08-14,36686066
2021-08-15,36729884
2021-08-16,36989377
2021-08-17,37133674
2021-08-18,37298543
2021-08-19,37458349
2021-08-20,37657643
2021-08-21,37737034
2021-08-22,37777607
2021-08-23,38043754
2021-08-24,38193951
2021-08-25,38364887
2021-08-26,38552648
2021-08-27,38748559
2021-08-28,38833818
2021-08-29,38875976
2021-08-30,39156379
2021-08-31,39316629
2021-09-01,39527624
2021-09-02,39703320
2021-09-03,39894795
2021-09-04,39960849
2021-09-05,40005266
2021-09-06,40082242
2021-09-07,40383380
2021-09-08,40567569
2021-09-09,40738140
2021-09-10,40914456
2021-09-11,40988382
2021-09-12,41027940
2021-09-13,41312998
2021-09-14,41465694
2021-09-15,41635889
2021-09-16,41790772
2021-09-17,41957710
2021-09-18,42025890
2021-09-19,42065846
2021-09-20,42274012
2021-09-21,42403987
2021-09-22,42551480
2021-09-23,42679344
2021-09-24,42819355
2021-09-25,42870947
2021-09-26,42905182
2021-09-27,43099971
2021-09-28,43213311
2021-09-29,43341823
2021-09-30,43458032
2021-10-01,43583808
2021-10-02,43628030
2021-10-03,43653869
2021-10-04,43826568
2021-10-05,43925170
2021-10-06,44051125
2021-10-07,44156527
2021-10-08,44269453
2021-10-09,44306787
2021-10-10,44329826
2021-10-11,44453506
2021-10-12,44565082
2021-10-13,44671639
2021-10-14,44760608
2021-10-15,44859168
2021-10-16,44892709
2021-10-17,44914861
2021-10-18,45036894
2021-10-19,45120577
2021-10-20,45207199
2021-10-21,45289145
2021-10-22,45376442
2021-10-23,45406266
2021-10-24,45423368
2021-10-25,45528929
2021-10-26,45616352
2021-10-27,45710896
2021-10-28,45797081
2021-10-29,45885804
2021-10-30,45915215
2021-10-31,45934098
2021-11-01,46058668
2021-11-02,46135611
2021-11-03,46220455
2021-11-04,46303542
2021-11-05,46395310
2021-11-06,46427249
2021-11-07,46449334
2021-11-08,46575795
2021-11-09,46659446
2021-11-10,46757836
2021-11-11,46822437
2021-11-12,46951788
2021-11-13,47013185
2021-11-14,47036794
2021-11-15,47185418
2021-11-16,47275904
2021-11-17,47390261
2021-11-18,47500534
2021-11-19,47620182
2021-11-20,47661246
2021-11-21,47692618
2021-11-22,47851516
2021-11-23,47944287
2021-11-24,48064179
2021-11-25,48095032
2021-11-26,48146557
2021-11-27,48171236
2021-11-28,48195186
2021-11-29,48411498
2021-11-30,48520792
2021-12-01,48660112
2021-12-02,48798824
2021-12-03,48952069
2021-12-04,49010213
2021-12-05,49044786
2021-12-06,49242230
2021-12-07,49356227
2021-12-08,49505272
2021-12-09,49628777
2021-12-10,49793839
2021-12-11,49845184
2021-12-12,49881540
2021-12-13,50084423
2021-12-14,50201282
2021-12-15,50346558
2021-12-16,50492877
2021-12-17,50664022
2021-12-18,50738685
2021-12-19,50811164
2021-12-20,51114064
2021-12-21,51303535
2021-12-22,51547227
2021-12-23,51812442
2021-12-24,51996367
2021-12-25,52054715
2021-12-26,52244429
2021-12-27,52787969
2021-12-28,53168681
2021-12-29,53657745
2021-12-30,54242800
2021-12-31,54689367
2022-01-01,54850427
2022-01-02,55137064
2022-01-03,56155999
2022-01-04,57041905
2022-01-05,57745969
2022-01-06,58505187
2022-01-07,59405357
2022-01-08,59851597
2022-01-09,60166932
2022-01-10,61600909
2022-01-11,62370837
2022-01-12,63251819
2022-01-13,64120526
2022-01-14,65053852
2022-01-15,65477079
2022-01-16,65814886
2022-01-17,66526937
2022-01-18,67705340
2022-01-19,68557295
2022-01-20,69305615
2022-01-21,70130930
2022-01-22,70468314
2022-01-23,70667795
2022-01-24,71699954
2022-01-25,72210867
2022-01-26,72895313
2022-01-27,73425577
2022-01-28,73981352
2022-01-29,74223465
2022-01-30,74327523
2022-01-31,74989495
2022-02-01,75285900
2022-02-02,75610929
2022-02-03,75923171
2022-02-04,76236151
2022-02-05,76359918
2022-02-06,76418395
2022-02-07,76766514
2022-02-08,76961010
2022-02-09,77187359
2022-02-10,77360952
2022-02-11,77530775
2022-02-12,77594737
2022-02-13,77629125
2022-02-14,77835449
2022-02-15,77950961
2022-02-16,78092141
2022-02-17,78196006
2022-02-18,78305615
2022-02-19,78351826
2022-02-20,78377993
2022-02-21,78433652
2022-02-22,78556769
2022-02-23,78641313
2022-02-24,78714719
2022-02-25,78800705
2022-02-26,78825927
2022-02-27,78835013
2022-02-28,78942813
2022-03-01,78986396
2022-03-02,79044542
2022-03-03,79096279
2022-03-04,79145866
2022-03-05,79162481
2022-03-06,79169256
2022-03-07,79232308
2022-03-08,79266324
2022-03-09,79314028
2022-03-10,79352221
2022-03-11,79396596
2022-03-12,79407518
2022-03-13,79413908
2022-03-14,79462956
2022-03-15,79511352
2022-03-16,79550748
2022-03-17,79586734
2022-03-18,79623203
2022-03-19,79635322
2022-03-20,79643175
2022-03-21,79689310
2022-03-22,79714979
2022-03-23,79762066
2022-03-24,79799812
2022-03-25,79833549
2022-03-26,79845604
2022-03-27,79853102
2022-03-28,79895338
2022-03-29,79920966
2022-03-30,79966408
2022-03-31,80004185
2022-04-01,80036620
2022-04-02,80048015
2022-04-03,80052942
2022-04-04,80093982
2022-04-05,80124875
2022-04-06,80174198
2022-04-07,80209904
2022-04-08,80254009
2022-04-09,80267530
2022-04-10,80275715
2022-04-11,80325700
2022-04-12,80354734
2022-04-13,80408643
2022-04-14,80466106
2022-04-15,80513724
2022-04-16,80524627
2022-04-17,80535906
2022-04-18,80595982
2022-04-19,80646004
2022-04-20,80708901
2022-04-21,80768167
2022-04-22,80836264
2022-04-23,80855181
2022-04-24,80867572
2022-04-25,80942184
2022-04-26,80996837
2022-04-27,81081307
2022-04-28,81154876
2022-04-29,81236707
2022-04-30,81259033
2022-05-01,81274401
2022-05-02,81370245
2022-05-03,81439579
2022-05-04,81541535
2022-05-05,81634962
2022-05-06,81730174
2022-05-07,81760532
2022-05-08,81772325
2022-05-09,81884978
2022-05-10,81978601
2022-05-11,82140136
2022-05-12,82255493
2022-05-13,82369958
2022-05-14,82395023
2022-05-15,82414462
2022-05-16,82564280
2022-05-17,82698373
2022-05-18,82867288
2022-05-19,82988450
2022-05-20,83128466
2022-05-21,83165773
2022-05-22,83187760
2022-05-23,83320644
2022-05-24,83453009
2022-05-25,83640103
2022-05-26,83764744
2022-05-27,83903655
2022-05-28,83917417
2022-05-29,83926462
2022-05-30,83958614
2022-05-31,84140997
2022-06-01,84360023
2022-06-02,84471393
2022-06-03,84613605
2022-06-04,84657255
2022-06-05,84673734
2022-06-06,84810837
2022-06-07,84953650
2022-06-08,85132456
2022-06-09,85250167
2022-06-10,85386208
2022-06-11,85421581
2022-06-12,85439974
2022-06-13,85565377
2022-06-14,85700792
2022-06-15,85872596
2022-06-16,85976793
2022-06-17,86093350
2022-06-18,86108115
2022-06-19,86122722
2022-06-20,86176918
2022-06-21,86386656
2022-06-22,86557097
2022-06-23,86673590
2022-06-24,86829149
2022-06-25,86876818
2022-06-26,86895056
2022-06-27,87027295
2022-06-28,87149583
2022-06-29,87345359
2022-06-30,87469077
2022-07-01,87621338
2022-07-02,87633658
2022-07-03,87640519
2022-07-04,87676181
2022-07-05,87857067
2022-07-06,88097358
2022-07-07,88221970
2022-07-08,88390029
2022-07-09,88413615
2022-07-10,88436184
2022-07-11,88611513
2022-07-12,88795782
2022-07-13,88986908
2022-07-14,89131091
2022-07-15,89300973
2022-07-16,89322015
2022-07-17,89343986
2022-07-18,89514434
2022-07-19,89675305
2022-07-20,89879921
2022-07-21,90033432
2022-07-22,90199121
2022-07-23,90223372
2022-07-24,90244872
2022-07-25,90412575
2022-07-26,90576810
2022-07-27,90803295
2022-07-28,90952402
2022-07-29,91091698
2022-07-30,91103665
2022-07-31,91114530
2022-08-01,91291256
2022-08-02,91399466
2022-08-03,91616745
2022-08-04,91781476
2022-08-05,91913390
2022-08-06,91924176
2022-08-07,91934257
2022-08-08,92079701
2022-08-09,92208348
2022-08-10,92383180
2022-08-11,92520198
2022-08-12,92641966
2022-08-13,92648820
2022-08-14,92659524
2022-08-15,92788886
2022-08-16,92909503
2022-08-17,93069322
2022-08-18,93195688
2022-08-19,93304179
2022-08-20,93312106
2022-08-21,93320628
2022-08-22,93441270
2022-08-23,93546473
2022-08-24,93720590
2022-08-25,93831767
2022-08-26,93934199
2022-08-27,93943022
2022-08-28,93951561
2022-08-29,94063866
2022-08-30,94180902
2022-08-31,94335008
2022-09-01,94443668
2022-09-02,94532021
2022-09-03,94539458
2022-09-04,94545281
2022-09-05,94563745
2022-09-06,94689639
2022-09-07,94833490
2022-09-08,94921915
2022-09-09,94995800
2022-09-10,94999027
2022-09-11,95010491
2022-09-12,95098004
2022-09-13,95159646
2022-09-14,95275075
2022-09-15,95369503
2022-09-16,95428258
2022-09-17,95434981
2022-09-18,95440240
2022-09-19,95507606
2022-09-20,95559194
2022-09-21,95666528
2022-09-22,95760230
2022-09-23,95804726
2022-09-24,95812817
2022-09-25,95819136
2022-09-26,95877656
2022-09-27,95919539
2022-09-28,96019867
2022-09-29,96104859
2022-09-30,96144226
2022-10-01,96150643
2022-10-02,96156591
2022-10-03,96204427
2022-10-04,96240281
2022-10-05,96320795
2022-10-06,96394630
2022-10-07,96429284
2022-10-08,96422344
2022-10-09,96428398
2022-10-10,96452692
2022-10-11,96493867
2022-10-12,96567547
2022-10-13,96643191
2022-10-14,96672841
2022-10-15,96675617
2022-10-16,96682663
2022-10-17,96729811
2022-10-18,96757935
2022-10-19,96826394
2022-10-20,96887495
2022-10-21,96921457
2022-10-22,96924033
2022-10-23,96931008
2022-10-24,96970800
2022-10-25,96996456
2022-10-26,97077271
2022-10-27,97146134
2022-10-28,97179235
2022-10-29,97182927
2022-10-30,97186606
2022-10-31,97233018
2022-11-01,97262328
2022-11-02,97338475
2022-11-03,97416551
2022-11-04,97465910
2022-11-05,97469639
2022-11-06,97476278
2022-11-07,97515570
2022-11-08,97536711
2022-11-09,97630397
2022-11-10,97718317
2022-11-11,97729641
2022-11-12,97732216
2022-11-13,97734170
2022-11-14,97785091
2022-11-15,97818155
2022-11-16,97896481
2022-11-17,97979502
2022-11-18,98030190
2022-11-19,98033687
2022-11-20,98036926
2022-11-21,98080590
2022-11-22,98117917
2022-11-23,98228602
2022-11-24,98264632
2022-11-25,98290350
2022-11-26,98291540
2022-11-27,98298369
2022-11-28,98356317
2022-11-29,98404190
2022-11-30,98516131
2022-12-01,98613271
2022-12-02,98686737
2022-12-03,98691598
2022-12-04,98696204
2022-12-05,98750243
2022-12-06,98798681
2022-12-07,98949011
2022-12-08,99089404
2022-12-09,99122963
2022-12-10,99128018
2022-12-11,99133303
2022-12-12,99187602
2022-12-13,99245874
2022-12-14,99400962
2022-12-15,99527716
2022-12-16,99601910
2022-12-17,99606838
2022-12-18,99612758
2022-12-19,99669991
2022-12-20,99726822
2022-12-21,99907293
2022-12-22,100055824
2022-12-23,100087194
2022-12-24,100092117
2022-12-25,100095566
2022-12-26,100104798
2022-12-27,100190406
2022-12-28,100313378
2022-12-29,100423471
2022-12-30,100456662
2022-12-31,100462184
2023-01-01,100447989
2023-01-02,100458882
2023-01-03,100535564
2023-01-04,100743731
2023-01-05,100859561
2023-01-06,100969155
2023-01-07,100972762
2023-01-08,100978862
2023-01-09,101023334
2023-01-10,101067331
2023-01-11,101225546
2023-01-12,101322776
2023-01-13,101353503
2023-01-14,101357407
2023-01-15,101361142
2023-01-16,101369550
2023-01-17,101428192
2023-01-18,101573353
2023-01-19,101641282
2023-01-20,101724115
2023-01-21,101726588
2023-01-22,101731541
2023-01-23,101763953
2023-01-24,101795726
2023-01-25,101909009
2023-01-26,101987861
2023-01-27,102002032
2023-01-28,102004232
2023-01-29,102008656
2023-01-30,102039105
2023-01-31,102070172
2023-02-01,102179838
2023-02-02,102247441
2023-02-03,102311816
2023-02-04,102314712
2023-02-05,102317430
2023-02-06,102342210
2023-02-07,102374102
2023-02-08,102486294
2023-02-09,102555293
2023-02-10,102569435
2023-02-11,102571337
2023-02-12,102574464
2023-02-13,102598932
2023-02-14,102626458
2023-02-15,102729372
2023-02-16,102799884
2023-02-17,102845975
2023-02-18,102850046
2023-02-19,102852853
2023-02-20,102861300
2023-02-21,102890417
2023-02-22,103017916
2023-02-23,103082394
2023-02-24,103093565
2023-02-25,103095092
2023-02-26,103097410
2023-02-27,103115557
2023-02-28,103143908
2023-03-01,103233169
2023-03-02,103295280
2023-03-03,103364789
2023-03-04,103366460
2023-03-05,103368027
2023-03-06,103382801
2023-03-07,103406609
2023-03-08,103469981
2023-03-09,103525528
2023-03-10,103535689
2023-03-11,103537178
2023-03-12,103538183
2023-03-13,103551298
2023-03-14,103571472
2023-03-15,103709101
2023-03-16,103763561
2023-03-17,103782317
2023-03-18,103783492
2023-03-19,103784916
2023-03-20,103794703
2023-03-21,103813076
2023-03-22,103864888
2023-03-23,103910034
