dates,incrementalcount_medicalconditionincident_covid_19_confirmedorprobablecase
2020-08-03,47484
2020-08-04,53549
2020-08-05,53723
2020-08-06,57514
2020-08-07,61157
2020-08-08,55240
2020-08-09,48480
2020-08-10,47173
2020-08-11,53357
2020-08-12,54278
2020-08-13,54061
2020-08-14,59477
2020-08-15,50743
2020-08-16,42137
2020-08-17,37523
2020-08-18,43233
2020-08-19,43013
2020-08-20,46042
2020-08-21,49016
2020-08-22,45026
2020-08-23,32333
2020-08-24,40404
2020-08-25,39131
2020-08-26,45147
2020-08-27,45836
2020-08-28,46564
2020-08-29,44609
2020-08-30,33429
2020-08-31,36487
2020-09-01,44049
2020-09-02,32444
2020-09-03,46397
2020-09-04,52101
2020-09-05,42253
2020-09-06,29998
2020-09-07,25166
2020-09-08,28942
2020-09-09,33332
2020-09-10,38061
2020-09-11,47567
2020-09-12,39104
2020-09-13,33343
2020-09-14,36887
2020-09-15,39217
2020-09-16,39268
2020-09-17,45310
2020-09-18,48887
2020-09-19,41811
2020-09-20,36356
2020-09-21,54952
2020-09-22,37391
2020-09-23,41549
2020-09-24,45204
2020-09-25,54581
2020-09-26,42695
2020-09-27,37298
2020-09-28,37360
2020-09-29,43697
2020-09-30,42058
2020-10-01,46418
2020-10-02,53580
2020-10-03,47779
2020-10-04,35063
2020-10-05,62413
2020-10-06,42862
2020-10-07,53017
2020-10-08,56382
2020-10-09,58962
2020-10-10,51648
2020-10-11,44783
2020-10-12,48016
2020-10-13,54393
2020-10-14,59853
2020-10-15,65353
2020-10-16,70464
2020-10-17,52761
2020-10-18,47882
2020-10-19,65440
2020-10-20,60594
2020-10-21,64237
2020-10-22,75130
2020-10-23,85297
2020-10-24,78579
2020-10-25,59715
2020-10-26,74638
2020-10-27,74387
2020-10-28,81882
2020-10-29,90669
2020-10-30,99868
2020-10-31,84207
2020-11-01,74195
2020-11-02,94006
2020-11-03,92416
2020-11-04,108078
2020-11-05,121349
2020-11-06,132823
2020-11-07,125931
2020-11-08,103323
2020-11-09,130444
2020-11-10,139684
2020-11-11,143039
2020-11-12,163651
2020-11-13,181496
2020-11-14,159033
2020-11-15,135186
2020-11-16,166563
2020-11-17,161631
2020-11-18,172280
2020-11-19,187508
2020-11-20,198859
2020-11-21,171933
2020-11-22,140794
2020-11-23,179623
2020-11-24,177858
2020-11-25,180590
2020-11-26,102994
2020-11-27,205839
2020-11-28,151408
2020-11-29,136122
2020-11-30,167658
2020-12-01,184228
2020-12-02,201172
2020-12-03,217738
2020-12-04,231368
2020-12-05,205708
2020-12-06,171921
2020-12-07,204523
2020-12-08,219714
2020-12-09,219716
2020-12-10,225722
2020-12-11,280016
2020-12-12,207532
2020-12-13,184219
2020-12-14,200885
2020-12-15,203153
2020-12-16,244827
2020-12-17,237709
2020-12-18,251190
2020-12-19,193905
2020-12-20,179911
2020-12-21,201518
2020-12-22,201637
2020-12-23,227763
2020-12-24,193511
2020-12-25,100931
2020-12-26,216861
2020-12-27,152089
2020-12-28,189010
2020-12-29,201030
2020-12-30,228949
2020-12-31,231024
2021-01-01,147248
2021-01-02,291610
2021-01-03,201780
2021-01-04,251830
2021-01-05,235016
2021-01-06,255966
2021-01-07,280334
2021-01-08,300777
2021-01-09,251919
2021-01-10,208295
2021-01-11,226316
2021-01-12,229977
2021-01-13,229325
2021-01-14,239522
2021-01-15,239853
2021-01-16,202193
2021-01-17,170094
2021-01-18,141133
2021-01-19,186944
2021-01-20,185488
2021-01-21,190482
2021-01-22,191565
2021-01-23,167917
2021-01-24,129676
2021-01-25,156576
2021-01-26,150638
2021-01-27,155770
2021-01-28,166175
2021-01-29,164615
2021-01-30,133800
2021-01-31,114040
2021-02-01,141609
2021-02-02,115256
2021-02-03,120183
2021-02-04,125636
2021-02-05,129501
2021-02-06,104947
2021-02-07,87281
2021-02-08,92982
2021-02-09,96390
2021-02-10,94975
2021-02-11,105640
2021-02-12,99627
2021-02-13,84652
2021-02-14,63780
2021-02-15,55272
2021-02-16,64540
2021-02-17,70161
2021-02-18,71791
2021-02-19,78012
2021-02-20,69720
2021-02-21,55180
2021-02-22,59466
2021-02-23,71913
2021-02-24,74194
2021-02-25,77882
2021-02-26,78317
2021-02-27,62674
2021-02-28,50905
2021-03-01,56696
2021-03-02,57644
2021-03-03,66612
2021-03-04,67282
2021-03-05,65695
2021-03-06,56585
2021-03-07,40064
2021-03-08,94513
2021-03-09,55899
2021-03-10,58195
2021-03-11,62387
2021-03-12,64166
2021-03-13,49557
2021-03-14,37989
2021-03-15,57164
2021-03-16,54531
2021-03-17,58931
2021-03-18,60470
2021-03-19,60623
2021-03-20,54425
2021-03-21,34193
2021-03-22,54716
2021-03-23,56746
2021-03-24,79903
2021-03-25,69116
2021-03-26,74499
2021-03-27,60700
2021-03-28,44515
2021-03-29,70739
2021-03-30,62234
2021-03-31,67936
2021-04-01,77193
2021-04-02,68589
2021-04-03,64136
2021-04-04,36823
2021-04-05,76594
2021-04-06,61972
2021-04-07,73090
2021-04-08,80458
2021-04-09,81582
2021-04-10,64758
2021-04-11,47977
2021-04-12,71932
2021-04-13,77321
2021-04-14,75750
2021-04-15,73694
2021-04-16,78354
2021-04-17,53874
2021-04-18,41399
2021-04-19,70260
2021-04-20,61024
2021-04-21,62495
2021-04-22,66241
2021-04-23,63784
2021-04-24,50468
2021-04-25,33591
2021-04-26,47335
2021-04-27,51877
2021-04-28,54818
2021-04-29,57582
2021-04-30,58517
2021-05-01,44759
2021-05-02,29632
2021-05-03,49944
2021-05-04,40955
2021-05-05,44719
2021-05-06,47694
2021-05-07,47493
2021-05-08,33666
2021-05-09,22328
2021-05-10,36557
2021-05-11,34041
2021-05-12,35483
2021-05-13,38439
2021-05-14,40981
2021-05-15,29050
2021-05-16,16710
2021-05-17,29207
2021-05-18,27863
2021-05-19,28794
2021-05-20,29618
2021-05-21,36800
2021-05-22,10527
2021-05-23,14150
2021-05-24,25628
2021-05-25,22838
2021-05-26,23386
2021-05-27,27747
2021-05-28,22024
2021-05-29,11560
2021-05-30,7442
2021-05-31,5503
2021-06-01,22570
2021-06-02,16858
2021-06-03,19471
2021-06-04,-23999
2021-06-05,10448
2021-06-06,6153
2021-06-07,19452
2021-06-08,14185
2021-06-09,20664
2021-06-10,15799
2021-06-11,16827
2021-06-12,8279
2021-06-13,6787
2021-06-14,15119
2021-06-15,11872
2021-06-16,14411
2021-06-17,12187
2021-06-18,12700
2021-06-19,7580
2021-06-20,4063
2021-06-21,15844
2021-06-22,12761
2021-06-23,14031
2021-06-24,14695
2021-06-25,14963
2021-06-26,6791
2021-06-27,4087
2021-06-28,15548
2021-06-29,15729
2021-06-30,15977
2021-07-01,64959
2021-07-02,20436
2021-07-03,3993
2021-07-04,2922
2021-07-05,4591
2021-07-06,27077
2021-07-07,30219
2021-07-08,49233
2021-07-09,35335
2021-07-10,7758
2021-07-11,5543
2021-07-12,35383
2021-07-13,42982
2021-07-14,38055
2021-07-15,36018
2021-07-16,52224
2021-07-17,12445
2021-07-18,9027
2021-07-19,59182
2021-07-20,62111
2021-07-21,60053
2021-07-22,65519
2021-07-23,82781
2021-07-24,21590
2021-07-25,13833
2021-07-26,93086
2021-07-27,106818
2021-07-28,84961
2021-07-29,98294
2021-07-30,122674
2021-07-31,29698
2021-08-01,22894
2021-08-02,136170
2021-08-03,150311
2021-08-04,112344
2021-08-05,126972
2021-08-06,168351
2021-08-07,42115
2021-08-08,36068
2021-08-09,178691
2021-08-10,162091
2021-08-11,155577
2021-08-12,138709
2021-08-13,187392
2021-08-14,49817
2021-08-15,43818
2021-08-16,259493
2021-08-17,144297
2021-08-18,164869
2021-08-19,159806
2021-08-20,199294
2021-08-21,79391
2021-08-22,40573
2021-08-23,266147
2021-08-24,150197
2021-08-25,170936
2021-08-26,187761
2021-08-27,195911
2021-08-28,85259
2021-08-29,42158
2021-08-30,280403
2021-08-31,160250
2021-09-01,210995
2021-09-02,175696
2021-09-03,191475
2021-09-04,66054
2021-09-05,44417
2021-09-06,76976
2021-09-07,301138
2021-09-08,184189
2021-09-09,170571
2021-09-10,176316
2021-09-11,73926
2021-09-12,39558
2021-09-13,285058
2021-09-14,152696
2021-09-15,170195
2021-09-16,154883
2021-09-17,166938
2021-09-18,68180
2021-09-19,39956
2021-09-20,208166
2021-09-21,129975
2021-09-22,147493
2021-09-23,127864
2021-09-24,140011
2021-09-25,51592
2021-09-26,34235
2021-09-27,194789
2021-09-28,113340
2021-09-29,128512
2021-09-30,116209
2021-10-01,125776
2021-10-02,44222
2021-10-03,25839
2021-10-04,172699
2021-10-05,98602
2021-10-06,125955
2021-10-07,105402
2021-10-08,112926
2021-10-09,37334
2021-10-10,23039
2021-10-11,123680
2021-10-12,111576
2021-10-13,106557
2021-10-14,88969
2021-10-15,98560
2021-10-16,33541
2021-10-17,22152
2021-10-18,122033
2021-10-19,83683
2021-10-20,86622
2021-10-21,81946
2021-10-22,87297
2021-10-23,29824
2021-10-24,17102
2021-10-25,105561
2021-10-26,87423
2021-10-27,94544
2021-10-28,86185
2021-10-29,88723
2021-10-30,29411
2021-10-31,18883
2021-11-01,124570
2021-11-02,76943
2021-11-03,84844
2021-11-04,83087
2021-11-05,91768
2021-11-06,31939
2021-11-07,22085
2021-11-08,126461
2021-11-09,83651
2021-11-10,98390
2021-11-11,64601
2021-11-12,129351
2021-11-13,61397
2021-11-14,23609
2021-11-15,148624
2021-11-16,90486
2021-11-17,114357
2021-11-18,110273
2021-11-19,119648
2021-11-20,41064
2021-11-21,31372
2021-11-22,158898
2021-11-23,92771
2021-11-24,119892
2021-11-25,30853
2021-11-26,51525
2021-11-27,24679
2021-11-28,23950
2021-11-29,216312
2021-11-30,109294
2021-12-01,139320
2021-12-02,138712
2021-12-03,153245
2021-12-04,58144
2021-12-05,34573
2021-12-06,197444
2021-12-07,113997
2021-12-08,149045
2021-12-09,123505
2021-12-10,165062
2021-12-11,51345
2021-12-12,36356
2021-12-13,202883
2021-12-14,116859
2021-12-15,145276
2021-12-16,146319
2021-12-17,171145
2021-12-18,74663
2021-12-19,72479
2021-12-20,302900
2021-12-21,189471
2021-12-22,243692
2021-12-23,265215
2021-12-24,183925
2021-12-25,58348
2021-12-26,189714
2021-12-27,543540
2021-12-28,380712
2021-12-29,489064
2021-12-30,585055
2021-12-31,446567
2022-01-01,161060
2022-01-02,286637
2022-01-03,1018935
2022-01-04,885906
2022-01-05,704064
2022-01-06,759218
2022-01-07,900170
2022-01-08,446240
2022-01-09,315335
2022-01-10,1433977
2022-01-11,769928
2022-01-12,880982
2022-01-13,868707
2022-01-14,933326
2022-01-15,423227
2022-01-16,337807
2022-01-17,712051
2022-01-18,1178403
2022-01-19,851955
2022-01-20,748320
2022-01-21,825315
2022-01-22,337384
2022-01-23,199481
2022-01-24,1032159
2022-01-25,510913
2022-01-26,684446
2022-01-27,530264
2022-01-28,555775
2022-01-29,242113
2022-01-30,104058
2022-01-31,661972
2022-02-01,296405
2022-02-02,325029
2022-02-03,312242
2022-02-04,312980
2022-02-05,123767
2022-02-06,58477
2022-02-07,348119
2022-02-08,194496
2022-02-09,226349
2022-02-10,173593
2022-02-11,169823
2022-02-12,63962
2022-02-13,34388
2022-02-14,206324
2022-02-15,115512
2022-02-16,141180
2022-02-17,103865
2022-02-18,109609
2022-02-19,46211
2022-02-20,26167
2022-02-21,55659
2022-02-22,123117
2022-02-23,84544
2022-02-24,73406
2022-02-25,85986
2022-02-26,25222
2022-02-27,9086
2022-02-28,107800
2022-03-01,43583
2022-03-02,58146
2022-03-03,51737
2022-03-04,49587
2022-03-05,16615
2022-03-06,6775
2022-03-07,63052
2022-03-08,34016
2022-03-09,47704
2022-03-10,38193
2022-03-11,44375
2022-03-12,10922
2022-03-13,6390
2022-03-14,49048
2022-03-15,48396
2022-03-16,39396
2022-03-17,35986
2022-03-18,36469
2022-03-19,12119
2022-03-20,7853
2022-03-21,46135
2022-03-22,25669
2022-03-23,47087
2022-03-24,37746
2022-03-25,33737
2022-03-26,12055
2022-03-27,7498
2022-03-28,42236
2022-03-29,25628
2022-03-30,45442
2022-03-31,37777
2022-04-01,32435
2022-04-02,11395
2022-04-03,4927
2022-04-04,41040
2022-04-05,30893
2022-04-06,49323
2022-04-07,35706
2022-04-08,44105
2022-04-09,13521
2022-04-10,8185
2022-04-11,49985
2022-04-12,29034
2022-04-13,53909
2022-04-14,57463
2022-04-15,47618
2022-04-16,10903
2022-04-17,11279
2022-04-18,60076
2022-04-19,50022
2022-04-20,62897
2022-04-21,59266
2022-04-22,68097
2022-04-23,18917
2022-04-24,12391
2022-04-25,74612
2022-04-26,54653
2022-04-27,84470
2022-04-28,73569
2022-04-29,81831
2022-04-30,22326
2022-05-01,15368
2022-05-02,95844
2022-05-03,69334
2022-05-04,101956
2022-05-05,93427
2022-05-06,95212
2022-05-07,30358
2022-05-08,11793
2022-05-09,112653
2022-05-10,93623
2022-05-11,161535
2022-05-12,115357
2022-05-13,114465
2022-05-14,25065
2022-05-15,19439
2022-05-16,149818
2022-05-17,134093
2022-05-18,168915
2022-05-19,121162
2022-05-20,140016
2022-05-21,37307
2022-05-22,21987
2022-05-23,132884
2022-05-24,132365
2022-05-25,187094
2022-05-26,124641
2022-05-27,138911
2022-05-28,13762
2022-05-29,9045
2022-05-30,32152
2022-05-31,182383
2022-06-01,219026
2022-06-02,111370
2022-06-03,142212
2022-06-04,43650
2022-06-05,16479
2022-06-06,137103
2022-06-07,142813
2022-06-08,178806
2022-06-09,117711
2022-06-10,136041
2022-06-11,35373
2022-06-12,18393
2022-06-13,125403
2022-06-14,135415
2022-06-15,171804
2022-06-16,104197
2022-06-17,116557
2022-06-18,14765
2022-06-19,14607
2022-06-20,54196
2022-06-21,209738
2022-06-22,170441
2022-06-23,116493
2022-06-24,155559
2022-06-25,47669
2022-06-26,18238
2022-06-27,132239
2022-06-28,122288
2022-06-29,195776
2022-06-30,123718
2022-07-01,152261
2022-07-02,12320
2022-07-03,6861
2022-07-04,35662
2022-07-05,180886
2022-07-06,240291
2022-07-07,124612
2022-07-08,168059
2022-07-09,23586
2022-07-10,22569
2022-07-11,175329
2022-07-12,184269
2022-07-13,191126
2022-07-14,144183
2022-07-15,169882
2022-07-16,21042
2022-07-17,21971
2022-07-18,170448
2022-07-19,160871
2022-07-20,204616
2022-07-21,153511
2022-07-22,165689
2022-07-23,24251
2022-07-24,21500
2022-07-25,167703
2022-07-26,164235
2022-07-27,226485
2022-07-28,149107
2022-07-29,139296
2022-07-30,11967
2022-07-31,10865
2022-08-01,176726
2022-08-02,108210
2022-08-03,217279
2022-08-04,164731
2022-08-05,131914
2022-08-06,10786
2022-08-07,10081
2022-08-08,145444
2022-08-09,128647
2022-08-10,174832
2022-08-11,137018
2022-08-12,121768
2022-08-13,6854
2022-08-14,10704
2022-08-15,129362
2022-08-16,120617
2022-08-17,159819
2022-08-18,126366
2022-08-19,108491
2022-08-20,7927
2022-08-21,8522
2022-08-22,120642
2022-08-23,105203
2022-08-24,174117
2022-08-25,111177
2022-08-26,102432
2022-08-27,8823
2022-08-28,8539
2022-08-29,112305
2022-08-30,117036
2022-08-31,154106
2022-09-01,108660
2022-09-02,88353
2022-09-03,7437
2022-09-04,5823
2022-09-05,18464
2022-09-06,125894
2022-09-07,143851
2022-09-08,88425
2022-09-09,73885
2022-09-10,3227
2022-09-11,11464
2022-09-12,87513
2022-09-13,61642
2022-09-14,115429
2022-09-15,94428
2022-09-16,58755
2022-09-17,6723
2022-09-18,5259
2022-09-19,67366
2022-09-20,51588
2022-09-21,107334
2022-09-22,93702
2022-09-23,44496
2022-09-24,8091
2022-09-25,6319
2022-09-26,58520
2022-09-27,41883
2022-09-28,100328
2022-09-29,84992
2022-09-30,39367
2022-10-01,6417
2022-10-02,5948
2022-10-03,47836
2022-10-04,35854
2022-10-05,80514
2022-10-06,73835
2022-10-07,34654
2022-10-08,-6940
2022-10-09,6054
2022-10-10,24294
2022-10-11,41175
2022-10-12,73680
2022-10-13,75644
2022-10-14,29650
2022-10-15,2776
2022-10-16,7046
2022-10-17,47148
2022-10-18,28124
2022-10-19,68459
2022-10-20,61101
2022-10-21,33962
2022-10-22,2576
2022-10-23,6975
2022-10-24,39792
2022-10-25,25656
2022-10-26,80815
2022-10-27,68863
2022-10-28,33101
2022-10-29,3692
2022-10-30,3679
2022-10-31,46412
2022-11-01,29310
2022-11-02,76147
2022-11-03,78076
2022-11-04,49359
2022-11-05,3729
2022-11-06,6639
2022-11-07,39292
2022-11-08,21141
2022-11-09,93686
2022-11-10,87920
2022-11-11,11324
2022-11-12,2575
2022-11-13,1954
2022-11-14,50921
2022-11-15,33064
2022-11-16,78326
2022-11-17,83021
2022-11-18,50688
2022-11-19,3497
2022-11-20,3239
2022-11-21,43664
2022-11-22,37327
2022-11-23,110685
2022-11-24,36030
2022-11-25,25718
2022-11-26,1190
2022-11-27,6829
2022-11-28,57948
2022-11-29,47873
2022-11-30,111941
2022-12-01,97140
2022-12-02,73466
2022-12-03,4861
2022-12-04,4606
2022-12-05,54039
2022-12-06,48438
2022-12-07,150330
2022-12-08,140393
2022-12-09,33559
2022-12-10,5055
2022-12-11,5285
2022-12-12,54299
2022-12-13,58272
2022-12-14,155088
2022-12-15,126754
2022-12-16,74194
2022-12-17,4928
2022-12-18,5920
2022-12-19,57233
2022-12-20,56831
2022-12-21,180471
2022-12-22,148531
2022-12-23,31370
2022-12-24,4923
2022-12-25,3449
2022-12-26,9232
2022-12-27,85608
2022-12-28,122972
2022-12-29,110093
2022-12-30,33191
2022-12-31,5522
2023-01-01,-14195
2023-01-02,10893
2023-01-03,76682
2023-01-04,208167
2023-01-05,115830
2023-01-06,109594
2023-01-07,3607
2023-01-08,6100
2023-01-09,44472
2023-01-10,43997
2023-01-11,158215
2023-01-12,97230
2023-01-13,30727
2023-01-14,3904
2023-01-15,3735
2023-01-16,8408
2023-01-17,58642
2023-01-18,145161
2023-01-19,67929
2023-01-20,82833
2023-01-21,2473
2023-01-22,4953
2023-01-23,32412
2023-01-24,31773
2023-01-25,113283
2023-01-26,78852
2023-01-27,14171
2023-01-28,2200
2023-01-29,4424
2023-01-30,30449
2023-01-31,31067
2023-02-01,109666
2023-02-02,67603
2023-02-03,64375
2023-02-04,2896
2023-02-05,2718
2023-02-06,24780
2023-02-07,31892
2023-02-08,112192
2023-02-09,68999
2023-02-10,14142
2023-02-11,1902
2023-02-12,3127
2023-02-13,24468
2023-02-14,27526
2023-02-15,102914
2023-02-16,70512
2023-02-17,46091
2023-02-18,4071
2023-02-19,2807
2023-02-20,8447
2023-02-21,29117
2023-02-22,127499
2023-02-23,64478
2023-02-24,11171
2023-02-25,1527
2023-02-26,2318
2023-02-27,18147
2023-02-28,28351
2023-03-01,89261
2023-03-02,62111
2023-03-03,69509
2023-03-04,1671
2023-03-05,1567
2023-03-06,14774
2023-03-07,23808
2023-03-08,63372
2023-03-09,55547
2023-03-10,10161
2023-03-11,1489
2023-03-12,1005
2023-03-13,13115
2023-03-14,20174
2023-03-15,137629
2023-03-16,54460
2023-03-17,18756
2023-03-18,1175
2023-03-19,1424
2023-03-20,9787
2023-03-21,18373
2023-03-22,51812
2023-03-23,45146
