title,description,link
"India Annual Winter Cropped Area, 2001-2016","CIESIN_SEDAC_INDIA_AWCA India Annual Winter Cropped Area, 2001-2016 The India Annual Winter...annual winter cropped areas for most of India (except the Northeastern states) from",https://cmr.earthdata.nasa.gov/search/concepts/C1458583603-SEDAC.html
"NPP Grassland: Vindhyan, India, 1986-1989, R1","NPP_VND_197 NPP Grassland: Vindhyan, India, 1986-1989, R1 This data set contains...on the Vindhyan plateau in northern India from 1986 to 1989, one file for each",https://cmr.earthdata.nasa.gov/search/concepts/C1000000327-ORNL_DAAC.html
"India Village-Level Geospatial Socio-Economic Data Set: 1991, 2001","Name: CIESIN_SEDAC_INDIA_VILSOCIOECON India Village-Level Geospatial Socio-Economic...Socio-Economic Data Set: 1991, 2001 The India Village-Level Geospatial Socio-Economic",https://cmr.earthdata.nasa.gov/search/concepts/C1513253831-SEDAC.html
"NPP Grassland: Kurukshetra, India, 1970-1971, R1","NPP_KRK_193 NPP Grassland: Kurukshetra, India, 1970-1971, R1 This data set contains...85 E, Elevation 247 m) in northern India, about 150-km north-northwest of Delhi",https://cmr.earthdata.nasa.gov/search/concepts/C1000000040-ORNL_DAAC.html
"Decadal Land Use and Land Cover Classifications across India, 1985, 1995, 2005","...and Land Cover Classifications across India, 1985, 1995, 2005 This data set provides...classification products at 100-m resolution for India at decadal intervals for 1985, 1995",https://cmr.earthdata.nasa.gov/search/concepts/C1322287366-ORNL_DAAC.html
LP DAAC - MODIS Captures Indirect Impacts of COVID-19 on the Environment,"...impacted economic growth globally. India has experienced its highest rates of...of the pandemic, the government of India has ordered several nationwide multi-phased",https://lpdaac.usgs.gov/resources/data-action/modis-captures-indirect-impacts-covid-19-environment/
User Profile: Dr. Karen Seto | Earthdata,"...with a particular research emphasis on India and China. Research highlights: In...In 1950, the population of India was slightly less than 400 million people. Today",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-karen-seto
User Profile: Dr. Pinki Mondal | Earthdata,"...2000-2016 wet season/monsoon in South Asia/India. Image by Dr. Chandranath Basak. Dr...the world is a daunting task, but one India has undertaken every 10 years since",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-pinki-mondal
Paving a new lifestyle | Earthdata,"...20th century, familiar illnesses in India included communicable diseases such...heart disease and diabetes. In short, India has made what health experts call the",https://earthdata.nasa.gov/learn/sensing-our-planet/paving-a-new-lifestyle
Worldview Image of the Week Archive | Earthdata,"Aerosol Index, India 11/09/2020 High Aerosol Index Over Northern India 061, VIIRS...Advanced Himawari Imager, Clean Infrared, India, Bangladesh, typhoon, severe storms",https://earthdata.nasa.gov/worldview/worldview-image-archive
Can Citizen Science and Low-Cost Sensors Help Improve Earth System Data? | Earthdata,"Raleigh, North Carolina; and Delhi, India. The citizen scientists deploy and...along the Indo-Gangetic Plain in North India. In North Carolina, the team is collaborating",https://earthdata.nasa.gov/esds/competitive-programs/csesp/improve-earth-system-data
The price of tea | Earthdata,"...quality and crop yield have declined. In India, the industry has struggled to modernize...mainstay in the country’s economy. India is home to nearly 1,600 plantations",https://earthdata.nasa.gov/learn/sensing-our-planet/the-price-of-tea
EOSDIS Data News: November 2017 | Earthdata,"...s-pop-projection-ssp-2010-2100 The India Annual Winter Cropped Area, v1 (2001-2016)...for beta testing as part of the SEDAC India data collection. These data consist",https://earthdata.nasa.gov/eosdis-data-news-archive/eosdis-data-news-november-2017
Effects of Emissions on Climate Change | Earthdata,"France, Russia, Poland, Japan, China, India, Brazil, Tanzania, and elsewhere. Industrial",https://earthdata.nasa.gov/learn/sensing-our-planet/effects-of-emissions-on-climate-change
User Profile: Dr. Steven Massie | Earthdata,"...like Beijing, China, and New Delhi, India, where a gray to yellow cloud turns...in this Aqua/MODIS image of Northern India acquired on November 4, 2019. These",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-steven-massie
User Profile: Dr. Brian Mapes | Earthdata,"...at the Ellora Caves in Maharashtra, India, which is about 300 km (190 miles)...east-northeast of Mumbai in western India. The Asian Monsoon plays a key role",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-brian-mapes
User Profile: Dr. Faisal Hossain | Earthdata,"...northwestward through Tibet and into India, where it forms the westernmost river... and crosses the borders of China, India, Afghanistan, and Pakistan. For Dr",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-faisal-hossain
EOSDIS Data News: April 2018 | Earthdata,"...completed a production release of the India Village-Level Geospatial Socio-Economic...Data Set: 1991, 2001, part of SEDAC’s India data collection. The dataset includes",https://earthdata.nasa.gov/eosdis-data-news-archive/eosdis-data-news-april-2018
Squeezing Water from Rock | Earthdata,"Structures in the village of Bhuj, India, which was 80 kilometers (50 miles)...the Kachchh region of northwestern India, provided scientists with just that",https://earthdata.nasa.gov/learn/sensing-our-planet/squeezing-water-from-rock
When the Earth moved Kashmir | Earthdata,"...neighboring countries of Pakistan and India. Kashmir also inhabits another crossroads:...Indian plate that underlies most of India and Pakistan, including much of Kashmir;",https://earthdata.nasa.gov/learn/sensing-our-planet/when-the-earth-moved-kashmir
EOSDIS Data News: March 2018 | Earthdata,SEDAC completed a beta release of the India Village-Level Geospatial Socio-Economic...level of administrative boundaries in India (village/town-level) and over 200 socio-economic,https://earthdata.nasa.gov/eosdis-data-news-archive/eosdis-data-news-march-2018
And the Winners Are . . . | Earthdata,"Overflow (Vallabh Vidhya Nagar, Anand, India) Best Mission Concept: Loud and Clear...Use of Science: Aspire (Tilangana, India) Best Use of Technology: FireWay (Dnipro",https://earthdata.nasa.gov/learn/articles/2020-space-apps-challenge-winners
LP DAAC - Highlights from the Literature: October to December 2019,"Vegetation Index data over Odisha, India, shorelines during the wet season of...Vegetation Index data over Odisha, India, shorelines during the wet season of",https://lpdaac.usgs.gov/resources/data-action/highlights-literature-october-december-2019/
LP DAAC - Irrigation and Land Use Change in Tamil Nadu,"...2015 A farm in Kukkal, Tamil Nadu, India captured on April 25, 2009. Image Credit:...SA2.0 A farm in Kukkal, Tamil Nadu, India captured on April 25, 2009. Image Credit:",https://lpdaac.usgs.gov/resources/data-action/irrigation-and-land-use-change-tamil-nadu/
"Country-Level Population and Downscaled Projections Based on the SRES B2 Scenario, 1990-2100","...including Africa, Asia (minus India and China), India, China, Europe, Latin America...BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN",https://cmr.earthdata.nasa.gov/search/concepts/C179001919-SEDAC.html
LP DAAC - MYD21A2,"...from the MYD21A2 product over India on India from October 23 - 30, 2020. View",https://lpdaac.usgs.gov/products/myd21a2v061/
A kink in the jet stream | Earthdata,...that pours on the Bay of Bengal in India. “The Bay of Bengal usually bears the...which runs the length of Pakistan from India in the north all the way to the Arabian,https://earthdata.nasa.gov/learn/sensing-our-planet/a-kink-in-the-jet-stream
Tropical Cyclone Amphan in the Bay of Bengal | Earthdata,...is projected to make landfall at the India-Bangladesh border. The image was acquired,https://earthdata.nasa.gov/worldview/worldview-image-archive/tropical-cyclone-amphan-in-the-bay-of-bengal
Karakoram Mountain Range | Earthdata,"...range spanning the borders of Pakistan, India, China, Afghanistan and Tajikistan",https://earthdata.nasa.gov/worldview/worldview-image-archive/karakoram-mountain-range
The Sundarbans | Earthdata,...mangrove forest part of which is in India and the other part in Bangladesh. The,https://earthdata.nasa.gov/worldview/worldview-image-archive/the-sundarbans
International Ocean Vector Winds Science Team Meeting (IOVWST) | PO.DAAC / JPL / NASA,"Location: Bangalore, India Event Date: June 3, 2020 to June 5, 2020 External",https://podaac.jpl.nasa.gov/events/2020-02-10_IOVWST_2020
INDOEX,INDOEX INDOEX Measurements from the India Ocean Experiment (INDOEX) in 1999.,https://cmr.earthdata.nasa.gov/search/concepts/C1633360380-OB_DAAC.html
Who uses NASA Earth Science Data? Data User Profiles | Earthdata,"...energy resources, Indus River, Tibet, India, Pakistan, Arabian Sea, hydrologic...ecosystems, farms, forestry, conservation, India, SEDAC, socioeconomic, VIIRS, NDVI",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles
EOSDIS Data News - June 2020 | Earthdata,"Emissions (PLUE) Spatial Data from the 2011 India Census, v1 (2011) doi:10.7927/gya1-wp91",https://earthdata.nasa.gov/eosdis-data-news-archive/eosdis-data-news-june-2020
Nighttime Images Show Changes in Human Activity | Earthdata,...of Ramadan or the electrification of India. They can also be used to help inform,https://earthdata.nasa.gov/learn/articles/feature-articles/nighttime-images-wuhan
Crazy bad air | Earthdata,"...been in the spotlight in recent years, India had the worst air quality in the world...indicate the highest levels of exposure; India, Bangladesh, Pakistan, and China scored",https://earthdata.nasa.gov/learn/sensing-our-planet/crazy-bad-air
"NPP Multi-Biome: Grassland, Boreal Forest, and Tropical Forest Sites, 1939-1996, R1","...been removed. NPP data for Vindhyan, India; Atherton, Australia; John Crow Ridge",https://cmr.earthdata.nasa.gov/search/concepts/C179003115-ORNL_DAAC.html
Matter in Motion: Earth's Changing Gravity | Earthdata,"...instance, the ocean surface off the tip of India is about 200 meters (650 feet) closer...the Amazon, and the monsoon cycle in India,"" said Tapley. Detecting how much water",https://earthdata.nasa.gov/learn/sensing-our-planet/matter-in-motion-earth-s-changing-gravity
Eight Citizen Science Projects Receive NASA Funding | Earthdata,"...effort examining air quality over Delhi, India, Los Angeles, CA, and Raleigh, NC,",https://earthdata.nasa.gov/learn/articles/csesp-roses-awards
CMR Search - Landing Pages for SEDAC EOSDIS Collections,"CIESIN_SEDAC_IPCC_SRES_FLGASES 1.00 Browse 1 Granule India Annual Winter Cropped Area, 2001-2016...CIESIN_SEDAC_INDIA_AWCA 1.00 Browse 18 Granules India Village-Level Geospatial Socio-Economic",https://cmr.earthdata.nasa.gov/search/site/collections/directory/SEDAC/gov.nasa.eosdis
"NPP Multi-Biome: Global Primary Production Data Initiative Products, R2","BNPP, and TNPP estimates for Vindhyan, India, in the Class B NPP data file. Please",https://cmr.earthdata.nasa.gov/search/concepts/C179132545-ORNL_DAAC.html
Winter blooms in the Arabian Sea | Earthdata,"...the west, Pakistan in the north, and India in the east. They monitor these using...water low in oxygen. “Big cities in India and the Middle East release lots of",https://earthdata.nasa.gov/learn/sensing-our-planet/winter-blooms-in-the-arabian-sea
Potential Impacts of Climate Change on World Food Supply: Datasets from a Major Crop Modeling Study,JAPAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA PAKISTAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001942-SEDAC.html
LP DAAC - MOD21A1D,"...data from the MOD21A1D product over India on June 26, 2017. View full-size image",https://lpdaac.usgs.gov/products/mod21a1dv006/
LP DAAC - MOD21A1N,"...data from the MOD21A1N product over India on June 09, 2000. View full-size image",https://lpdaac.usgs.gov/products/mod21a1nv006/
Urban Landsat: Cities from Space,AFGHANISTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA NEPAL,https://cmr.earthdata.nasa.gov/search/concepts/C179001954-SEDAC.html
LP DAAC - MYD21,"Temperature (LST) from the MYD21 product over India on September 28, 2018. View full-size",https://lpdaac.usgs.gov/products/myd21v006/
LP DAAC - MYD21A1D,"...(LST) from the MYD21A1D product over India on September 30, 2018. View full-size",https://lpdaac.usgs.gov/products/myd21a1dv006/
LP DAAC - MYD21A2,"...(LST) from the MYD21A2 product over India from September 22 - 29, 2018. View",https://lpdaac.usgs.gov/products/myd21a2v006/
LP DAAC - MYD21A1N,"...data from the MYD21A1N product over India on May 07, 2020. View full-size image",https://lpdaac.usgs.gov/products/myd21a1nv061/
LP DAAC - MOD21A1N,"...data from the MOD21A1N product over India on May 08, 2020. View full-size image",https://lpdaac.usgs.gov/products/mod21a1nv061/
LP DAAC - MOD21A2,"...data from the MOD21A2 product over India on January 5, 2000. View full-size",https://lpdaac.usgs.gov/products/mod21a2v006/
LP DAAC - MOD21,"...(LST) data from the MOD21 product over India on June 28, 2018. View full-size image",https://lpdaac.usgs.gov/products/mod21v006/
LP DAAC - MYD21A1N,"...(LST) from the MYD21A1N product over India on September 8, 2018. View full-size",https://lpdaac.usgs.gov/products/myd21a1nv006/
LP DAAC - MYD21A1D,"...data from the MYD21A1D product over India on May 9, 2020. View full-size image",https://lpdaac.usgs.gov/products/myd21a1dv061/
LP DAAC - MOD21A1D,"...data from the MOD21A1D product over India on May 3, 2020. View full-size image",https://lpdaac.usgs.gov/products/mod21a1dv061/
"Population Exposure Estimates in Proximity to Nuclear Power Plants, Locations",TAIWAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000480-SEDAC.html
LP DAAC - MYD21,"...(LST) data from the MOD21 product over India on December 3, 2020. View full-size",https://lpdaac.usgs.gov/products/myd21v061/
LP DAAC - MOD21,"...(LST) data from the MOD21 product over India on Dec 1, 2020. View full-size image",https://lpdaac.usgs.gov/products/mod21v061/
LP DAAC - MOD17A3,"...data from the MOD17A3 product over India, 2014. View full-size image 47914 252nd",https://lpdaac.usgs.gov/products/mod17a3v055/
MOPITT Data now Available in LANCE | Earthdata,...concentrations (gray areas north of India and in Antarctica are areas where no,https://earthdata.nasa.gov/learn/articles/feature-articles/health-and-air-quality-articles/mopitt-data-now-available-in-lance
LP DAAC - MOD21A2,"...data from the MOD21A2 product over India on January 1 - 8, 2020. View full-size",https://lpdaac.usgs.gov/products/mod21a2v061/
2000 Pilot Environmental Sustainability Index (ESI),KOREA CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHEASTERN ASIA THAILAND,https://cmr.earthdata.nasa.gov/search/concepts/C179001887-SEDAC.html
Millennium Ecosystem Assessment: MA Biodiversity,TAIWAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA WESTERN ASIA MIDDLE,https://cmr.earthdata.nasa.gov/search/concepts/C1000000560-SEDAC.html
Lake Observations from Citizen Scientists and Satellites | Earthdata,...the monsoon rains from mountains in India in the Assam province. These water,https://earthdata.nasa.gov/esds/competitive-programs/csesp/tracking-water-storage-in-lakes
Data Pathfinders | Earthdata,"...optical depth (AOD) measurements over India, March 31 to April 5, for each year",https://earthdata.nasa.gov/learn/pathfinders
OMPS/NPP PCA SO2 Total Column 1-Orbit L2 Swath 50x50km V2 (OMPS_NPP_NMSO2_PCA_L2) at GES DISC,"...major anthropogenic SO2 sources (e.g., India, eastern China, the Middle East, and",https://cmr.earthdata.nasa.gov/search/concepts/C1917909223-GES_DISC.html
Fusing Five Satellite Instruments' Data Into One Dataset: Introducing Terra Fusion | Earthdata,...) There's a well-known parable from India about a group of blind men who come,https://earthdata.nasa.gov/learn/articles/tools-and-technology-articles/introducing-terra-fusion
An Earth System Data Record of Earth's Surface Mass Variations from GRACE and Geodetic Satellites | Earthdata,"... groundwater depletion (e.g., over India or California), and ocean mass changes",https://earthdata.nasa.gov/esds/competitive-programs/measures/esdr-of-earth-s-surface-mass-variations
"CODATA Catalog of Roads Data Sets, Version 1",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179002127-SEDAC.html
2001 Environmental Sustainability Index (ESI),BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000220-SEDAC.html
"Anthropogenic Sulfur Dioxide Emissions, 1850-2005: National and Regional Data Set by Source Category, Version 2.86",BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000030-SEDAC.html
"Global Mangrove Forests Distribution, 2000",BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000440-SEDAC.html
Gravity Recovery and Climate Experiment (GRACE) Twin Satellites | PO.DAAC / JPL / NASA,"...changes and recharge in Rajasthan, India through remote sensing, Water,https://doi...for increasing groundwater areas in India, Journal of hydrology,https://doi.org/10",https://podaac.jpl.nasa.gov/GRACE
2002 Environmental Sustainability Index (ESI),BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001967-SEDAC.html
Poverty Mapping Project: Global Subnational Prevalence of Child Malnutrition,BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001944-SEDAC.html
Warnings from the ionosphere | Earthdata,...from the ionosphere From Indonesia to India A spread of green Sensing Our Planet,https://earthdata.nasa.gov/learn/sensing-our-planet/warnings-from-the-ionosphere
EOSDIS Data News Archive | Earthdata,"PLUE, population, land use, emissions, India, census, Investigation of Microphysics... PM2.5, administrative boundaries, India, OLYMPEX, Olympic Mountain Experiment",https://earthdata.nasa.gov/eosdis-data-news-archive
Compendium of Environmental Sustainability Indicator Collections: 2006 National Footprint Accounts (NFA),BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1418641019-SEDAC.html
"Synthetic Assessment of Global Distribution of Vulnerability to Climate Change: Maps and Data, 2005, 2050, and 2100",BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001951-SEDAC.html
Sea Level Rise Impacts on Ramsar Wetlands of International Importance,BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000260-SEDAC.html
2005 Environmental Sustainability Index (ESI),BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001889-SEDAC.html
User Profile: Dr. Thomas A. Herring | Earthdata,"Quasi-Zenith Satellite System (QZSS), and India has the Indian Regional Navigation",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-thomas-a-herring
"Natural Resource Management Index (NRMI), 2010 Release",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA KAZAKHSTAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000007-SEDAC.html
The Flood Hunters | Earthdata,"...2004, monsoon rains swelled rivers in India, Bangladesh, and Nepal, killing more",https://earthdata.nasa.gov/learn/sensing-our-planet/the-flood-hunters
Effects of Climate Change on Global Food Production from SRES Emissions and Socioeconomic Scenarios,BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1418651576-SEDAC.html
2012 Environmental Performance Index and Pilot Trend Environmental Performance Index,BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000000-SEDAC.html
2010 Environmental Performance Index (EPI),BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179002147-SEDAC.html
Rooting out rainfall | Earthdata,"...that lie in the north tropics, such as India and Colombia. Other changes, such as",https://earthdata.nasa.gov/learn/sensing-our-planet/rooting-out-rainfall
"Country-Level GDP and Downscaled Projections Based on the SRES A1, A2, B1, and B2 Marker Scenarios, 1990-2100",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001917-SEDAC.html
2012 Environmental Performance Index and Pilot Trend Environmental Performance Index,BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000000-SEDAC.html
User Profile: Dr. Kristy Tiampo | Earthdata,"Columbia; Luanda, Angola; Chennai, India; Baghdad, Iraq; and Dar es Salaam,",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-kristy-tiampo
The big fat puzzle | Earthdata,...from the ionosphere From Indonesia to India A spread of green Sensing Our Planet,https://earthdata.nasa.gov/learn/sensing-our-planet/the-big-fat-puzzle
2014 Environmental Performance Index (EPI),BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000541-SEDAC.html
"Natural Resource Management Index (NRMI), 2011 Release",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000031-SEDAC.html
Sensing Invasive Species From Space | Earthdata,"...a chain of islands off the coast of India, that there was a significant reduction",https://earthdata.nasa.gov/learn/articles/sensing-invasive-species
TOPEX-POSEIDON Mission | PO.DAAC / JPL / NASA,"...coast, India, Journal of the Marine Biological Association of India,https://doi",https://podaac.jpl.nasa.gov/TOPEX-POSEIDON
Drought on the range | Earthdata,...from the ionosphere From Indonesia to India A spread of green Sensing Our Planet,https://earthdata.nasa.gov/learn/sensing-our-planet/drought-on-the-range
Pilot 2006 Environmental Performance Index (EPI),BANGLADESH CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001815-SEDAC.html
"Country-Level Population and Downscaled Projections Based on the SRES A1, B1, and A2 Scenarios, 1990-2100",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001918-SEDAC.html
User Profile: Dr. Navin Ramankutty | Earthdata,"...crops in 2000. Darker areas, such as in India and the U.S. Midwest, indicate a higher",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-navin-ramankutty
NASA FIRMS Helps Fight Wildland Fires in Near Real-Time | Earthdata,"...it,” Davies says. “For example, in India the Forest Departments in both the",https://earthdata.nasa.gov/learn/articles/tools-and-technology-articles/nasa-firms-helps-fight-wildland-fires-in-near-real-time
IPCC Socio-Economic Baseline Dataset,BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001801-SEDAC.html
"National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 2 (PLACE II)",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001708-SEDAC.html
COVID-19 Data Pathfinder | Earthdata,Particle Levels Plummet in Northern India New-generation satellite observations,https://earthdata.nasa.gov/learn/pathfinders/covid-19
"Population Exposure Estimates in Proximity to Nuclear Power Plants, Country-Level Aggregates",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C1000000460-SEDAC.html
"National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates (PLACE)",BHUTAN CONTINENT ASIA SOUTHCENTRAL ASIA INDIA CONTINENT ASIA SOUTHCENTRAL ASIA IRAN,https://cmr.earthdata.nasa.gov/search/concepts/C179001940-SEDAC.html
User Profile: Dr. Piyush Agram | Earthdata,"...targeted radar imaging, primarily over India. In addition, NISAR’s L-band and S-band",https://earthdata.nasa.gov/learn/user-resources/who-uses-nasa-earth-science-data-user-profiles/user-profile-dr-piyush-agram
