title,description,link
Smoke and Fires in Northwest India—November 2016,"Image captured on 28 November 2016 by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",www.earthdata.nasa.gov/worldview/worldview-image-archive/smoke-and-fires-in-northwest-india-2016-11-28
Paving a New Lifestyle,"As rapid urbanization transforms India's landscape, doctors face a new set of challenges in protecting public health.",www.earthdata.nasa.gov/learn/sensing-our-planet/paving-a-new-lifestyle
From Indonesia to India,Researchers follow the wanderings of fresh water in the tropics.,www.earthdata.nasa.gov/learn/sensing-our-planet/from-indonesia-to-india
NISAR S-Band SAR,The NISAR S-band SAR will operate at a wavelength of 12 cm for use sensing light vegetation.,www.earthdata.nasa.gov/sensors/nisar-s-band-sar
The Price of Tea,Satellites help make a satisfying brew.,www.earthdata.nasa.gov/learn/sensing-our-planet/the-price-of-tea
Pacific Warm Pool,"The Indian Ocean/West Pacific Warm Pool extends almost half way around the globe, stretching along the equator south of India, through the waters off Sumatra, Java, Borneo, and New Guinea, and into the central Pacific Ocean. The waters of the Warm Pool are warmer than any other open ocean on Earth. Because these waters are hot enough to drive heat and moisture high into the atmosphere, the warm pool has a large effect on the climate of surrounding lands. In fact, the slow fluctuations of size and intensity of the warm pool may be linked with the intensity of El Niño.",www.earthdata.nasa.gov/topics/climate-indicators/atmospheric-ocean-indicators/sea-surface-temperature-indices/pacific-warm
User Profile: Dr. Pinki Mondal,"Who uses NASA Earth science data? Dr. Pinki Mondal, to study the effects of climate change on agricultural systems and communities.",www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-pinki-mondal
User Profile: Dr. Karen Seto,"Who uses NASA Earth science data? Dr. Karen Seto, to study the environmental effects of urbanization.",www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-karen-seto
Can Citizen Science and Low-Cost Sensors Help Improve Earth System Data?,,www.earthdata.nasa.gov/esds/competitive-programs/csesp/improve-earth-system-data
Worldview Image of the Week Archive,"Each week, Earthdata features a new image showcasing the data and visualizations available within Worldview. Worldview uses NASA's Global Imagery Browse Services (GIBS) to rapidly retrieve its imagery for an interactive browsing experience.",www.earthdata.nasa.gov/worldview/worldview-image-archive
EOSDIS New Datasets: June 2020,,www.earthdata.nasa.gov/eosdis/eosdis-data-news-archive/eosdis-data-news-june-2020
Measuring the World's Croplands,The Global Food Security-support Analysis Data (GFSAD) collection provides detailed maps of agricultural croplands around the world at 30-meter spatial resolution.,www.earthdata.nasa.gov/learn/articles/gfsad
Nighttime Images Show Changes in Human Activity,"Nighttime satellite images provide a unique global picture of how human activities are changing on a daily basis. Images from January 19 and February 4, 2020",www.earthdata.nasa.gov/learn/articles/nighttime-images-show-changes-human-activity
Eight Citizen Science Projects Receive NASA Funding,NASA’s Citizen Science for Earth Systems Program (CSESP) announces eight citizen science projects funded through the 2020 NASA Research Opportunities in Space and Earth Sciences (ROSES) solicitation.,www.earthdata.nasa.gov/learn/articles/csesp-roses-awards
An Earth System Data Record of Earth's Surface Mass Variations from GRACE and Geodetic Satellites,,www.earthdata.nasa.gov/esds/competitive-programs/measures/esdr-of-earth-s-surface-mass-variations
NASA Announces Winners of 2022 Global Space Apps Challenge,Ten teams from around the globe took home top honors in the world’s largest annual hackathon addressing real-world problems on Earth and in space.,www.earthdata.nasa.gov/news/2022-space-apps-challenge-winners
MOPITT Data Now Available in LANCE,"Global carbon monoxide data from the MOPITT instrument aboard NASA’s Terra satellite are the newest near real-time products available through the Land, Atmosphere Near real-time Capability for EOS (LANCE).",www.earthdata.nasa.gov/learn/articles/mopitt-data-now-available-in-lance
Effects of Emissions on Climate Change,Separating human-caused climate change from natural climatic variability.,www.earthdata.nasa.gov/learn/sensing-our-planet/effects-of-emissions-on-climate-change
Matter in Motion: Earth's Changing Gravity,A new satellite mission sheds light on Earth's gravity field and provides clues about changing sea levels.,www.earthdata.nasa.gov/learn/sensing-our-planet/matter-in-motion-earths-changing-gravity
Crazy Bad Air,Open sharing of pollution data helps Chinese netizens brave the politics of murky air.,www.earthdata.nasa.gov/learn/sensing-our-planet/crazy-bad-air
SpaceML: Rise of the Machine (Learning),A global team is using artificial intelligence and machine learning to enable users to search for specific features in satellite imagery available through NASA’s Global Imagery Browse Services (GIBS).,www.earthdata.nasa.gov/learn/articles/spaceml
Fusing Five Satellite Instruments' Data Into One Dataset: Introducing Terra Fusion,"Terra Fusion, a new data product and toolkit, allows researchers to combine data from all five Terra instruments into one cohesive dataset.",www.earthdata.nasa.gov/learn/articles/introducing-terra-fusion
Lake Observations from Citizen Scientists and Satellites,,www.earthdata.nasa.gov/esds/competitive-programs/csesp/tracking-water-storage-in-lakes
Nighttime Lights,Backgrounder on VIIRS day/night band and its applications.,www.earthdata.nasa.gov/learn/backgrounders/nighttime-lights
Terra: Five Instruments—One Monumental Data Record,"After more than 20 years in space, the five instruments aboard NASA’s Terra satellite continue their singular achievement of compiling a climate data record of Earth.",www.earthdata.nasa.gov/learn/articles/terra-at-20
The Flood Hunters,"Researchers develop a long-term archive of satellite data that will help hydrologists monitor floods, allow aid agencies to pinpoint flood-prone regions, and provide information for modeling some of the Earth's complex hydrologic cycles.",www.earthdata.nasa.gov/learn/sensing-our-planet/the-flood-hunters
NASA FIRMS Helps Fight Wildland Fires in Near Real-Time,NASA’s worldwide Fire Information for Resource Management System (FIRMS) provides vital near real-time tools for managing wildland fires.,www.earthdata.nasa.gov/learn/articles/nasa-firms-helps-fight-wildland-fires-in-near-real-time
User Profile: Dr. Thomas A. Herring,"The Global Navigation Satellite System (GNSS) enables the precise location of points on Earth’s surface. For geodesists like Dr. Herring, it also is a key geodetic technique for his studies of surface deformation processes.",www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-thomas-herring
Rooting Out Rainfall,Polar water fuels off-kilter rainfall in the tropics.,www.earthdata.nasa.gov/learn/sensing-our-planet/rooting-out-rainfall
When the Big Picture is Not Enough,A researcher pushes the limits of radar data to monitor small rice fields in the Philippines.,www.earthdata.nasa.gov/learn/sensing-our-planet/when-the-big-picture-is-not-enough
