title,description,link
A Kink in the Jet Stream,Extreme weather events thousands of miles apart may be linked.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/a-kink-in-the-jet-stream
NASA Expands Contract with Planet Labs Inc. for Satellite Imagery,The contract expansion significantly broadens the availability of Planet imagery distributed by NASA’s Commercial Smallsat Data Acquisition (CSDA) program.,https://www.earthdata.nasa.gov/learn/articles/planet-contract-expansion
Himalaya's Heat Pump,Polluted air over Asia is changing patterns in remote mountain ranges.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/himalaya-s-heat-pump
Agriculture and Water Management,,https://www.earthdata.nasa.gov/learn/agriculture
Winter Blooms in the Arabian Sea,A tiny organism and its tenants make an unexpected appearance.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/winter-blooms-in-the-arabian-sea
EOSDIS New Datasets: June 2020,,https://www.earthdata.nasa.gov/eosdis/eosdis-data-news-archive/eosdis-data-news-june-2020
Measuring the World's Croplands,The Global Food Security-support Analysis Data (GFSAD) collection provides detailed maps of agricultural croplands around the world at 30-meter spatial resolution.,https://www.earthdata.nasa.gov/learn/articles/gfsad
Nighttime Images Show Changes in Human Activity,"Nighttime satellite images provide a unique global picture of how human activities are changing on a daily basis. Images from January 19 and February 4, 2020",https://www.earthdata.nasa.gov/learn/articles/nighttime-images-show-changes-human-activity
Eight Citizen Science Projects Receive NASA Funding,NASA’s Citizen Science for Earth Systems Program (CSESP) announces eight citizen science projects funded through the 2020 NASA Research Opportunities in Space and Earth Sciences (ROSES) solicitation.,https://www.earthdata.nasa.gov/learn/articles/csesp-roses-awards
An Earth System Data Record of Earth's Surface Mass Variations from GRACE and Geodetic Satellites,,https://www.earthdata.nasa.gov/esds/competitive-programs/measures/esdr-of-earth-s-surface-mass-variations
NASA Announces Winners of 2022 Global Space Apps Challenge,Ten teams from around the globe took home top honors in the world’s largest annual hackathon addressing real-world problems on Earth and in space.,https://www.earthdata.nasa.gov/news/2022-space-apps-challenge-winners
MOPITT Data Now Available in LANCE,"Global carbon monoxide data from the MOPITT instrument aboard NASA’s Terra satellite are the newest near real-time products available through the Land, Atmosphere Near real-time Capability for EOS (LANCE).",https://www.earthdata.nasa.gov/learn/articles/mopitt-data-now-available-in-lance
Effects of Emissions on Climate Change,Separating human-caused climate change from natural climatic variability.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/effects-of-emissions-on-climate-change
Matter in Motion: Earth's Changing Gravity,A new satellite mission sheds light on Earth's gravity field and provides clues about changing sea levels.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/matter-in-motion-earths-changing-gravity
Crazy Bad Air,Open sharing of pollution data helps Chinese netizens brave the politics of murky air.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/crazy-bad-air
SpaceML: Rise of the Machine (Learning),A global team is using artificial intelligence and machine learning to enable users to search for specific features in satellite imagery available through NASA’s Global Imagery Browse Services (GIBS).,https://www.earthdata.nasa.gov/learn/articles/spaceml
Fusing Five Satellite Instruments' Data Into One Dataset: Introducing Terra Fusion,"Terra Fusion, a new data product and toolkit, allows researchers to combine data from all five Terra instruments into one cohesive dataset.",https://www.earthdata.nasa.gov/learn/articles/introducing-terra-fusion
Lake Observations from Citizen Scientists and Satellites,,https://www.earthdata.nasa.gov/esds/competitive-programs/csesp/tracking-water-storage-in-lakes
Nighttime Lights,Backgrounder on VIIRS day/night band and its applications.,https://www.earthdata.nasa.gov/learn/backgrounders/nighttime-lights
Terra: Five Instruments—One Monumental Data Record,"After more than 20 years in space, the five instruments aboard NASA’s Terra satellite continue their singular achievement of compiling a climate data record of Earth.",https://www.earthdata.nasa.gov/learn/articles/terra-at-20
The Flood Hunters,"Researchers develop a long-term archive of satellite data that will help hydrologists monitor floods, allow aid agencies to pinpoint flood-prone regions, and provide information for modeling some of the Earth's complex hydrologic cycles.",https://www.earthdata.nasa.gov/learn/sensing-our-planet/the-flood-hunters
NASA FIRMS Helps Fight Wildland Fires in Near Real-Time,NASA’s worldwide Fire Information for Resource Management System (FIRMS) provides vital near real-time tools for managing wildland fires.,https://www.earthdata.nasa.gov/learn/articles/nasa-firms-helps-fight-wildland-fires-in-near-real-time
User Profile: Dr. Thomas A. Herring,"The Global Navigation Satellite System (GNSS) enables the precise location of points on Earth’s surface. For geodesists like Dr. Herring, it also is a key geodetic technique for his studies of surface deformation processes.",https://www.earthdata.nasa.gov/learn/data-user-profiles/user-profile-dr-thomas-herring
Rooting Out Rainfall,Polar water fuels off-kilter rainfall in the tropics.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/rooting-out-rainfall
When the Big Picture is Not Enough,A researcher pushes the limits of radar data to monitor small rice fields in the Philippines.,https://www.earthdata.nasa.gov/learn/sensing-our-planet/when-the-big-picture-is-not-enough
