"Series ID","Month","Value","Annual Percent Change"
"CUSR0000SA0","November 1, 2010","219.590","1.1"
"CUSR0000SA0","October 1, 2010","219.035","1.2"
"CUSR0000SA0","September 1, 2010","218.275","1.1"
"CUSR0000SA0","August 1, 2010","217.923","1.2"
"CUSR0000SA0","July 1, 2010","217.605","1.3"
"CUSR0000SA0","June 1, 2010","217.199","1.1"
"CUSR0000SA0","May 1, 2010","217.290","2.0"
"CUSR0000SA0","April 1, 2010","217.403","2.2"
"CUSR0000SA0","March 1, 2010","217.353","2.3"
"CUSR0000SA0","February 1, 2010","217.281","2.2"
"CUSR0000SA0","January 1, 2010","217.488","2.6"
"CUSR0000SA0","December 1, 2009","217.347","2.8"
"CUSR0000SA0","November 1, 2009","217.234","1.9"
"CUSR0000SA0","October 1, 2009","216.509","-0.2"
"CUSR0000SA0","September 1, 2009","215.861","-1.4"
"CUSR0000SA0","August 1, 2009","215.445","-1.5"
"CUSR0000SA0","July 1, 2009","214.726","-2.0"
"CUSR0000SA0","June 1, 2009","214.790","-1.2"
"CUSR0000SA0","May 1, 2009","213.022","-1.0"
"CUSR0000SA0","April 1, 2009","212.709","-0.6"
"CUSR0000SA0","March 1, 2009","212.495","-0.4"
"CUSR0000SA0","February 1, 2009","212.705","0.0"
"CUSR0000SA0","January 1, 2009","211.933","-0.1"
"CUSR0000SA0","December 1, 2008","211.398","0.0"
"CUSR0000SA0","November 1, 2008","213.153","1.1"
"CUSR0000SA0","October 1, 2008","216.995","3.7"
"CUSR0000SA0","September 1, 2008","218.877","5.0"
"CUSR0000SA0","August 1, 2008","218.690","5.3"
"CUSR0000SA0","July 1, 2008","219.016","5.5"
"CUSR0000SA0","June 1, 2008","217.463","4.9"
"CUSR0000SA0","May 1, 2008","215.208","4.1"
"CUSR0000SA0","April 1, 2008","213.942","3.9"
"CUSR0000SA0","March 1, 2008","213.448","4.0"
"CUSR0000SA0","February 1, 2008","212.687","4.1"
"CUSR0000SA0","January 1, 2008","212.174","4.3"
"CUSR0000SA0","December 1, 2007","211.445","4.1"
"CUSR0000SA0","November 1, 2007","210.834","4.4"
"CUSR0000SA0","October 1, 2007","209.190","3.6"
"CUSR0000SA0","September 1, 2007","208.547","2.8"
"CUSR0000SA0","August 1, 2007","207.667","1.9"
"CUSR0000SA0","July 1, 2007","207.603","2.3"
"CUSR0000SA0","June 1, 2007","207.234","2.7"
"CUSR0000SA0","May 1, 2007","206.755","2.7"
"CUSR0000SA0","April 1, 2007","205.904","2.6"
"CUSR0000SA0","March 1, 2007","205.288","2.8"
"CUSR0000SA0","February 1, 2007","204.226","2.4"
"CUSR0000SA0","January 1, 2007","203.437","2.1"
"CUSR0000SA0","December 1, 2006","203.1","2.5"
"CUSR0000SA0","November 1, 2006","202.0","2.0"
"CUSR0000SA0","October 1, 2006","201.9","1.4"
"CUSR0000SA0","September 1, 2006","202.8","2.0"
"CUSR0000SA0","August 1, 2006","203.8","3.9"
"CUSR0000SA0","July 1, 2006","202.9","4.1"
"CUSR0000SA0","June 1, 2006","201.8","4.2"
"CUSR0000SA0","May 1, 2006","201.3","4.0"
"CUSR0000SA0","April 1, 2006","200.7","3.6"
"CUSR0000SA0","March 1, 2006","199.7","3.4"
"CUSR0000SA0","February 1, 2006","199.4","3.6"
"CUSR0000SA0","January 1, 2006","199.3","4.0"
"CUSR0000SA0","December 1, 2005","198.1","3.3"
"CUSR0000SA0","November 1, 2005","198.1","3.3"
"CUSR0000SA0","October 1, 2005","199.1","4.4"
"CUSR0000SA0","September 1, 2005","198.8","4.7"
"CUSR0000SA0","August 1, 2005","196.1","3.6"
"CUSR0000SA0","July 1, 2005","194.9","3.1"
"CUSR0000SA0","June 1, 2005","193.7","2.5"
"CUSR0000SA0","May 1, 2005","193.6","2.9"
"CUSR0000SA0","April 1, 2005","193.7","3.4"
"CUSR0000SA0","March 1, 2005","193.1","3.2"
"CUSR0000SA0","February 1, 2005","192.4","3.1"
"CUSR0000SA0","January 1, 2005","191.6","2.8"
"CUSR0000SA0","December 1, 2004","191.7","3.3"
"CUSR0000SA0","November 1, 2004","191.7","3.6"
"CUSR0000SA0","October 1, 2004","190.8","3.2"
"CUSR0000SA0","September 1, 2004","189.8","2.5"
"CUSR0000SA0","August 1, 2004","189.2","2.5"
"CUSR0000SA0","July 1, 2004","189.1","2.9"
"CUSR0000SA0","June 1, 2004","188.9","3.2"
"CUSR0000SA0","May 1, 2004","188.2","2.9"
"CUSR0000SA0","April 1, 2004","187.4","2.3"
"CUSR0000SA0","March 1, 2004","187.1","1.7"
"CUSR0000SA0","February 1, 2004","186.7","1.7"
"CUSR0000SA0","January 1, 2004","186.3","2.0"
"CUSR0000SA0","December 1, 2003","185.5","2.0"
"CUSR0000SA0","November 1, 2003","185.0","1.9"
"CUSR0000SA0","October 1, 2003","184.9","2.0"
"CUSR0000SA0","September 1, 2003","185.1","2.4"
"CUSR0000SA0","August 1, 2003","184.5","2.2"
"CUSR0000SA0","July 1, 2003","183.7","2.1"
"CUSR0000SA0","June 1, 2003","183.1","1.9"
"CUSR0000SA0","May 1, 2003","182.9","1.9"
"CUSR0000SA0","April 1, 2003","183.2","2.2"
"CUSR0000SA0","March 1, 2003","183.9","3.0"
"CUSR0000SA0","February 1, 2003","183.6","3.1"
"CUSR0000SA0","January 1, 2003","182.6","2.8"
"CUSR0000SETB01","July 1, 2022","381.710","44.0"
"CUSR0000SETB01","June 1, 2022","413.606","59.9"
"CUSR0000SETB01","May 1, 2022","372.063","48.7"
"CUSR0000SETB01","April 1, 2022","357.377","43.6"
"CUSR0000SETB01","March 1, 2022","380.763","48.0"
"CUSR0000SETB01","February 1, 2022","321.849","38.0"
"CUSR0000SETB01","January 1, 2022","301.791","40.0"
"CUSR0000SETB01","December 1, 2021","304.315","49.3"
"CUSR0000SETB01","November 1, 2021","300.351","57.8"
"CUSR0000SETB01","October 1, 2021","287.303","49.5"
"CUSR0000SETB01","September 1, 2021","274.721","42.0"
"CUSR0000SETB01","August 1, 2021","271.710","42.8"
"CUSR0000SETB01","July 1, 2021","265.072","41.9"
"CUSR0000SETB01","June 1, 2021","258.638","45.4"
"CUSR0000SETB01","May 1, 2021","250.257","56.5"
"CUSR0000SETB01","April 1, 2021","248.826","49.7"
"CUSR0000SETB01","March 1, 2021","257.289","22.6"
"CUSR0000SETB01","February 1, 2021","233.202","1.4"
"CUSR0000SETB01","January 1, 2021","215.529","-8.9"
"CUSR0000SETB01","December 1, 2020","203.777","-15.3"
"CUSR0000SETB01","November 1, 2020","190.381","-19.5"
"CUSR0000SETB01","October 1, 2020","192.150","-18.2"
"CUSR0000SETB01","September 1, 2020","193.476","-15.4"
"CUSR0000SETB01","August 1, 2020","190.327","-16.7"
"CUSR0000SETB01","July 1, 2020","186.758","-20.1"
"CUSR0000SETB01","June 1, 2020","177.853","-23.1"
"CUSR0000SETB01","May 1, 2020","159.902","-33.7"
"CUSR0000SETB01","April 1, 2020","166.244","-32.0"
"CUSR0000SETB01","March 1, 2020","209.903","-10.1"
"CUSR0000SETB01","February 1, 2020","229.980","5.4"
"CUSR0000SETB01","January 1, 2020","236.591","12.3"
"CUSR0000SETB01","December 1, 2019","240.708","7.7"
"CUSR0000SETB01","November 1, 2019","236.587","-1.4"
"CUSR0000SETB01","October 1, 2019","234.773","-7.6"
"CUSR0000SETB01","September 1, 2019","228.787","-8.2"
"CUSR0000SETB01","August 1, 2019","228.391","-6.9"
"CUSR0000SETB01","July 1, 2019","233.809","-3.0"
"CUSR0000SETB01","June 1, 2019","231.403","-5.1"
"CUSR0000SETB01","May 1, 2019","241.074","-0.2"
"CUSR0000SETB01","April 1, 2019","244.583","3.2"
"CUSR0000SETB01","March 1, 2019","233.365","-0.3"
"CUSR0000SETB01","February 1, 2019","218.146","-9.3"
"CUSR0000SETB01","January 1, 2019","210.752","-10.6"
"CUSR0000SETB01","December 1, 2018","223.423","-2.4"
"CUSR0000SETB01","November 1, 2018","239.900","4.8"
"CUSR0000SETB01","October 1, 2018","253.947","16.0"
"CUSR0000SETB01","September 1, 2018","249.150","9.2"
"CUSR0000SETB01","August 1, 2018","245.227","20.5"
"CUSR0000SETB01","July 1, 2018","241.052","25.6"
"CUSR0000SETB01","June 1, 2018","243.880","24.6"
"CUSR0000SETB01","May 1, 2018","241.533","22.1"
"CUSR0000SETB01","April 1, 2018","237.076","13.4"
"CUSR0000SETB01","March 1, 2018","234.179","11.1"
"CUSR0000SETB01","February 1, 2018","240.400","12.5"
"CUSR0000SETB01","January 1, 2018","235.641","8.1"
"CUSR0000SETB01","December 1, 2017","228.888","11.0"
"CUSR0000SETB01","November 1, 2017","228.908","14.9"
"CUSR0000SETB01","October 1, 2017","218.990","10.7"
"CUSR0000SETB01","September 1, 2017","228.252","20.3"
"CUSR0000SETB01","August 1, 2017","203.585","10.8"
"CUSR0000SETB01","July 1, 2017","191.889","3.5"
"CUSR0000SETB01","June 1, 2017","195.797","-0.3"
"CUSR0000SETB01","May 1, 2017","197.848","5.4"
"CUSR0000SETB01","April 1, 2017","209.074","13.2"
"CUSR0000SETB01","March 1, 2017","210.690","20.3"
"CUSR0000SETB01","February 1, 2017","213.626","31.3"
"CUSR0000SETB01","January 1, 2017","217.892","20.1"
"CUSR0000SETB01","December 1, 2016","206.244","8.1"
"CUSR0000SETB01","November 1, 2016","199.220","0.1"
"CUSR0000SETB01","October 1, 2016","197.788","-0.8"
"CUSR0000SETB01","September 1, 2016","189.766","-6.0"
"CUSR0000SETB01","August 1, 2016","183.715","-18.6"
"CUSR0000SETB01","July 1, 2016","185.486","-20.0"
"CUSR0000SETB01","June 1, 2016","196.440","-14.9"
"CUSR0000SETB01","May 1, 2016","187.627","-16.7"
"CUSR0000SETB01","April 1, 2016","184.762","-12.7"
"CUSR0000SETB01","March 1, 2016","175.164","-18.4"
"CUSR0000SETB01","February 1, 2016","162.727","-21.4"
"CUSR0000SETB01","January 1, 2016","181.445","-9.1"
"CUSR0000SETB01","December 1, 2015","190.765","-20.0"
"CUSR0000SETB01","November 1, 2015","198.984","-24.1"
"CUSR0000SETB01","October 1, 2015","199.315","-28.4"
"CUSR0000SETB01","September 1, 2015","201.935","-29.6"
"CUSR0000SETB01","August 1, 2015","225.725","-23.4"
"CUSR0000SETB01","July 1, 2015","231.775","-22.7"
"CUSR0000SETB01","June 1, 2015","230.871","-23.6"
"CUSR0000SETB01","May 1, 2015","225.281","-25.2"
"CUSR0000SETB01","April 1, 2015","211.577","-30.7"
"CUSR0000SETB01","March 1, 2015","214.684","-28.5"
"CUSR0000SETB01","February 1, 2015","206.901","-32.2"
"CUSR0000SETB01","January 1, 2015","199.553","-35.3"
"CUSR0000SETB01","December 1, 2014","238.491","-21.4"
"CUSR0000SETB01","November 1, 2014","262.282","-11.7"
"CUSR0000SETB01","October 1, 2014","278.463","-5.8"
"CUSR0000SETB01","September 1, 2014","287.003","-3.5"
"CUSR0000SETB01","August 1, 2014","294.803","-2.8"
"CUSR0000SETB01","July 1, 2014","299.785","0.3"
"CUSR0000SETB01","June 1, 2014","302.293","1.4"
"CUSR0000SETB01","May 1, 2014","301.296","2.8"
"CUSR0000SETB01","April 1, 2014","305.367","3.4"
"CUSR0000SETB01","March 1, 2014","300.141","-3.3"
"CUSR0000SETB01","February 1, 2014","305.007","-7.4"
"CUSR0000SETB01","January 1, 2014","308.400","0.5"
"CUSR0000SETB01","December 1, 2013","303.304","-1.0"
"CUSR0000SETB01","November 1, 2013","297.183","-5.7"
"CUSR0000SETB01","October 1, 2013","295.640","-11.1"
"CUSR0000SETB01","September 1, 2013","297.390","-9.0"
"CUSR0000SETB01","August 1, 2013","303.409","-2.2"
"CUSR0000SETB01","July 1, 2013","298.754","3.9"
"CUSR0000SETB01","June 1, 2013","298.112","2.3"
"CUSR0000SETB01","May 1, 2013","293.131","-3.5"
"CUSR0000SETB01","April 1, 2013","295.206","-7.6"
"CUSR0000SETB01","March 1, 2013","310.442","-2.7"
"CUSR0000SETB01","February 1, 2013","329.253","4.0"
"CUSR0000SETB01","January 1, 2013","306.734","0.2"
"CUSR0000SETB01","December 1, 2012","306.338","1.9"
"CUSR0000SETB01","November 1, 2012","315.264","2.2"
"CUSR0000SETB01","October 1, 2012","332.699","8.7"
"CUSR0000SETB01","September 1, 2012","326.789","5.7"
"CUSR0000SETB01","August 1, 2012","310.365","1.3"
"CUSR0000SETB01","July 1, 2012","287.505","-5.7"
"CUSR0000SETB01","June 1, 2012","291.490","-4.2"
"CUSR0000SETB01","May 1, 2012","303.692","-3.5"
"CUSR0000SETB01","April 1, 2012","319.414","3.0"
"CUSR0000SETB01","March 1, 2012","319.198","8.2"
"CUSR0000SETB01","February 1, 2012","316.625","13.1"
"CUSR0000SETB01","January 1, 2012","306.170","11.0"
"CUSR0000SETB01","December 1, 2011","300.662","10.7"
"CUSR0000SETB01","November 1, 2011","308.587","20.3"
"CUSR0000SETB01","October 1, 2011","305.963","22.4"
"CUSR0000SETB01","September 1, 2011","309.168","31.2"
"CUSR0000SETB01","August 1, 2011","306.276","31.6"
"CUSR0000SETB01","July 1, 2011","304.901","33.1"
"CUSR0000SETB01","June 1, 2011","304.321","36.6"
"CUSR0000SETB01","May 1, 2011","314.859","38.2"
"CUSR0000SETB01","April 1, 2011","310.115","33.3"
"CUSR0000SETB01","March 1, 2011","294.915","26.5"
"CUSR0000SETB01","February 1, 2011","280.015","18.8"
"CUSR0000SETB01","January 1, 2011","275.816","14.0"
"CUSR0000SETB01","December 1, 2010","271.509","14.4"
"CUSR0000SETB01","November 1, 2010","256.596","7.7"
"CUSR0000SETB01","October 1, 2010","249.885","9.3"
"CUSR0000SETB01","September 1, 2010","235.661","4.2"
"CUSR0000SETB01","August 1, 2010","232.674","4.0"
"CUSR0000SETB01","July 1, 2010","229.026","8.2"
"CUSR0000SETB01","June 1, 2010","222.745","4.5"
"CUSR0000SETB01","May 1, 2010","227.765","28.6"
"CUSR0000SETB01","April 1, 2010","232.594","38.2"
"CUSR0000SETB01","March 1, 2010","233.103","39.7"
"CUSR0000SETB01","February 1, 2010","235.748","35.4"
"CUSR0000SETB01","January 1, 2010","242.036","50.5"
"CUSR0000SETB01","December 1, 2009","237.235","53.7"
"CUSR0000SETB01","November 1, 2009","238.246","24.2"
"CUSR0000SETB01","October 1, 2009","228.651","-17.9"
"CUSR0000SETB01","September 1, 2009","226.214","-29.6"
"CUSR0000SETB01","August 1, 2009","223.781","-29.9"
"CUSR0000SETB01","July 1, 2009","211.649","-36.6"
"CUSR0000SETB01","June 1, 2009","213.086","-33.8"
"CUSR0000SETB01","May 1, 2009","177.057","-38.9"
"CUSR0000SETB01","April 1, 2009","168.312","-39.1"
"CUSR0000SETB01","March 1, 2009","166.814","-40.3"
"CUSR0000SETB01","February 1, 2009","174.067","-37.2"
"CUSR0000SETB01","January 1, 2009","160.815","-41.2"
"CUSR0000SETB01","December 1, 2008","154.377","-43.2"
"CUSR0000SETB01","November 1, 2008","191.822","-28.4"
"CUSR0000SETB01","October 1, 2008","278.393","13.1"
"CUSR0000SETB01","September 1, 2008","321.466","31.5"
"CUSR0000SETB01","August 1, 2008","319.114","35.0"
"CUSR0000SETB01","July 1, 2008","334.055","37.9"
"CUSR0000SETB01","June 1, 2008","321.643","33.5"
"CUSR0000SETB01","May 1, 2008","289.883","20.6"
"CUSR0000SETB01","April 1, 2008","276.563","20.6"
"CUSR0000SETB01","March 1, 2008","279.234","25.3"
"CUSR0000SETB01","February 1, 2008","277.120","33.0"
"CUSR0000SETB01","January 1, 2008","273.485","33.2"
"CUSR0000SETB01","December 1, 2007","271.805","28.6"
"CUSR0000SETB01","November 1, 2007","268.067","37.5"
"CUSR0000SETB01","October 1, 2007","246.233","25.0"
"CUSR0000SETB01","September 1, 2007","244.482","10.5"
"CUSR0000SETB01","August 1, 2007","236.401","-6.4"
"CUSR0000SETB01","July 1, 2007","242.158","-1.3"
"CUSR0000SETB01","June 1, 2007","241.015","5.7"
"CUSR0000SETB01","May 1, 2007","240.407","5.7"
"CUSR0000SETB01","April 1, 2007","229.338","2.4"
"CUSR0000SETB01","March 1, 2007","222.804","7.0"
"CUSR0000SETB01","February 1, 2007","208.351","-0.9"
"CUSR0000SETB01","January 1, 2007","205.361","-3.7"
"CUSR0000SETB01","December 1, 2006","211.3","5.4"
"CUSR0000SETB01","November 1, 2006","195.0","-3.5"
"CUSR0000SETB01","October 1, 2006","197.0","-17.6"
"CUSR0000SETB01","September 1, 2006","221.3","-11.8"
"CUSR0000SETB01","August 1, 2006","252.7","19.6"
"CUSR0000SETB01","July 1, 2006","245.3","28.7"
"CUSR0000SETB01","June 1, 2006","228.1","31.8"
"CUSR0000SETB01","May 1, 2006","227.5","32.3"
"CUSR0000SETB01","April 1, 2006","224.0","23.9"
"CUSR0000SETB01","March 1, 2006","208.3","17.4"
"CUSR0000SETB01","February 1, 2006","210.2","21.2"
"CUSR0000SETB01","January 1, 2006","213.2","27.7"
"CUSR0000SETB01","December 1, 2005","200.4","13.9"
"CUSR0000SETB01","November 1, 2005","202.0","12.7"
"CUSR0000SETB01","October 1, 2005","239.1","38.4"
"CUSR0000SETB01","September 1, 2005","251.0","55.6"
"CUSR0000SETB01","August 1, 2005","211.3","34.1"
"CUSR0000SETB01","July 1, 2005","190.6","20.5"
"CUSR0000SETB01","June 1, 2005","173.0","7.9"
"CUSR0000SETB01","May 1, 2005","171.9","11.2"
"CUSR0000SETB01","April 1, 2005","180.8","22.8"
"CUSR0000SETB01","March 1, 2005","177.5","17.4"
"CUSR0000SETB01","February 1, 2005","173.4","14.8"
"CUSR0000SETB01","January 1, 2005","166.9","12.5"
"CUSR0000SETB01","December 1, 2004","176.0","26.2"
"CUSR0000SETB01","November 1, 2004","179.2","31.6"
"CUSR0000SETB01","October 1, 2004","172.7","26.2"
"CUSR0000SETB01","September 1, 2004","161.3","10.1"
"CUSR0000SETB01","August 1, 2004","157.6","15.3"
"CUSR0000SETB01","July 1, 2004","158.2","26.5"
"CUSR0000SETB01","June 1, 2004","160.3","33.8"
"CUSR0000SETB01","May 1, 2004","154.6","29.9"
"CUSR0000SETB01","April 1, 2004","147.2","10.2"
"CUSR0000SETB01","March 1, 2004","151.2","2.6"
"CUSR0000SETB01","February 1, 2004","151.0","1.6"
"CUSR0000SETB01","January 1, 2004","148.3","8.2"
"CUSR0000SETB01","December 1, 2003","139.5","11.9"
"CUSR0000SETB01","November 1, 2003","136.2","8.9"
"CUSR0000SETB01","October 1, 2003","136.9","8.7"
"CUSR0000SETB01","September 1, 2003","146.5","21.5"
"CUSR0000SETB01","August 1, 2003","136.7","14.2"
"CUSR0000SETB01","July 1, 2003","125.1","5.6"
"CUSR0000SETB01","June 1, 2003","119.8","2.6"
"CUSR0000SETB01","May 1, 2003","119.0","2.1"
"CUSR0000SETB01","April 1, 2003","133.6","15.4"
"CUSR0000SETB01","March 1, 2003","147.3","36.6"
"CUSR0000SETB01","February 1, 2003","148.6","49.0"
"CUSR0000SETB01","January 1, 2003","137.1","36.4"
"CUSR0000SAF1","July 1, 2022","308.220","10.9"
"CUSR0000SAF1","June 1, 2022","304.867","10.4"
"CUSR0000SAF1","May 1, 2022","301.879","10.1"
"CUSR0000SAF1","April 1, 2022","298.379","9.4"
"CUSR0000SAF1","March 1, 2022","295.809","8.8"
"CUSR0000SAF1","February 1, 2022","292.912","7.9"
"CUSR0000SAF1","January 1, 2022","289.959","7.0"
"CUSR0000SAF1","December 1, 2021","287.440","6.3"
"CUSR0000SAF1","November 1, 2021","286.050","6.1"
"CUSR0000SAF1","October 1, 2021","283.912","5.3"
"CUSR0000SAF1","September 1, 2021","281.468","4.6"
"CUSR0000SAF1","August 1, 2021","278.969","3.7"
"CUSR0000SAF1","July 1, 2021","277.877","3.4"
"CUSR0000SAF1","June 1, 2021","276.067","2.4"
"CUSR0000SAF1","May 1, 2021","274.092","2.1"
"CUSR0000SAF1","April 1, 2021","272.827","2.4"
